N,M,id,E
16,27,1,1
16,27,2,0
16,27,3,0
16,27,4,0
16,27,5,1
16,27,6,1
16,27,7,0
16,27,8,0
16,27,9,0
16,27,10,1
16,27,11,0
16,27,12,0
16,27,13,0
16,27,14,1
16,27,15,0
16,27,16,0
16,27,17,1
16,27,18,0
16,27,19,0
16,27,20,0
16,27,21,0
16,27,22,0
16,27,23,0
16,27,24,0
16,27,25,1
16,27,26,1
16,27,27,0
16,27,28,0
16,27,29,0
16,27,30,0
16,27,31,0
16,27,32,0
16,27,33,0
16,27,34,0
16,27,35,0
16,27,36,1
16,27,37,0
16,27,38,0
16,27,39,0
16,27,40,0
16,27,41,1
16,27,42,0
16,27,43,0
16,27,44,0
16,27,45,1
16,27,46,0
16,27,47,0
16,27,48,1
16,27,49,0
16,27,50,0
16,27,51,0
16,27,52,0
16,27,53,0
16,27,54,0
16,27,55,0
16,27,56,0
16,27,57,0
16,27,58,0
16,27,59,0
16,27,60,1
16,27,61,0
16,27,62,0
16,27,63,0
16,27,64,1
16,27,65,0
16,27,66,0
16,27,67,0
16,27,68,0
16,27,69,0
16,27,70,0
16,27,71,0
16,27,72,1
16,27,73,1
16,27,74,0
16,27,75,1
16,27,76,0
16,27,77,0
16,27,78,0
16,27,79,0
16,27,80,0
16,27,81,0
16,27,82,0
16,27,83,0
16,27,84,1
16,27,85,0
16,27,86,0
16,27,87,0
16,27,88,1
16,27,89,0
16,27,90,0
16,27,91,0
16,27,92,0
16,27,93,1
16,27,94,0
16,27,95,1
16,27,96,0
16,27,97,1
16,27,98,1
16,27,99,1
16,27,100,0
16,27,101,0
16,27,102,0
16,27,103,0
16,27,104,0
16,27,105,0
16,27,106,0
16,27,107,0
16,27,108,1
16,27,109,0
16,27,110,0
16,27,111,0
16,27,112,0
16,27,113,0
16,27,114,0
16,27,115,0
16,27,116,0
16,27,117,0
16,27,118,0
16,27,119,0
16,27,120,1
16,27,121,0
16,27,122,0
16,27,123,1
16,27,124,0
16,27,125,1
16,27,126,0
16,27,127,0
16,27,128,0
16,27,129,0
16,27,130,1
16,27,131,0
16,27,132,0
16,27,133,1
16,27,134,0
16,27,135,0
16,27,136,0
16,27,137,0
16,27,138,1
16,27,139,0
16,27,140,1
16,27,141,0
16,27,142,1
16,27,143,0
16,27,144,0
16,27,145,0
16,27,146,1
16,27,147,0
16,27,148,0
16,27,149,0
16,27,150,0
16,27,151,0
16,27,152,0
16,27,153,0
16,27,154,0
16,27,155,0
16,27,156,0
16,27,157,0
16,27,158,1
16,27,159,0
16,27,160,0
16,27,161,1
16,27,162,1
16,27,163,0
16,27,164,0
16,27,165,0
16,27,166,0
16,27,167,0
16,27,168,0
16,27,169,0
16,27,170,0
16,27,171,0
16,27,172,0
16,27,173,0
16,27,174,0
16,27,175,1
16,27,176,0
16,27,177,1
16,27,178,1
16,27,179,1
16,27,180,1
16,27,181,0
16,27,182,1
16,27,183,0
16,27,184,0
16,27,185,0
16,27,186,0
16,27,187,0
16,27,188,0
16,27,189,0
16,27,190,0
16,27,191,0
16,27,192,1
16,27,193,0
16,27,194,0
16,27,195,0
16,27,196,0
16,27,197,0
16,27,198,1
16,27,199,0
16,27,200,1
16,27,201,0
16,27,202,0
16,27,203,0
16,27,204,0
16,27,205,1
16,27,206,1
16,27,207,1
16,27,208,0
16,27,209,0
16,27,210,1
16,27,211,1
16,27,212,1
16,27,213,0
16,27,214,0
16,27,215,0
16,27,216,0
16,27,217,0
16,27,218,0
16,27,219,0
16,27,220,0
16,27,221,1
16,27,222,0
16,27,223,0
16,27,224,0
16,27,225,0
16,27,226,0
16,27,227,0
16,27,228,0
16,27,229,0
16,27,230,0
16,27,231,1
16,27,232,0
16,27,233,0
16,27,234,1
16,27,235,1
16,27,236,0
16,27,237,0
16,27,238,0
16,27,239,0
16,27,240,0
16,27,241,0
16,27,242,0
16,27,243,1
16,27,244,0
16,27,245,1
16,27,246,0
16,27,247,1
16,27,248,0
16,27,249,0
16,27,250,0
16,27,251,0
16,27,252,0
16,27,253,0
16,27,254,0
16,27,255,0
16,27,256,0
16,27,257,0
16,27,258,1
16,27,259,0
16,27,260,0
16,27,261,0
16,27,262,1
16,27,263,0
16,27,264,0
16,27,265,0
16,27,266,0
16,27,267,0
16,27,268,0
16,27,269,0
16,27,270,0
16,27,271,0
16,27,272,0
16,27,273,0
16,27,274,0
16,27,275,0
16,27,276,1
16,27,277,0
16,27,278,1
16,27,279,0
16,27,280,0
16,27,281,0
16,27,282,1
16,27,283,0
16,27,284,0
16,27,285,0
16,27,286,0
16,27,287,0
16,27,288,0
16,27,289,0
16,27,290,0
16,27,291,0
16,27,292,0
16,27,293,0
16,27,294,0
16,27,295,0
16,27,296,0
16,27,297,0
16,27,298,0
16,27,299,0
16,27,300,1
16,27,301,0
16,27,302,0
16,27,303,1
16,27,304,1
16,27,305,0
16,27,306,0
16,27,307,0
16,27,308,0
16,27,309,1
16,27,310,0
16,27,311,0
16,27,312,0
16,27,313,0
16,27,314,0
16,27,315,0
16,27,316,0
16,27,317,0
16,27,318,0
16,27,319,0
16,27,320,0
16,27,321,0
16,27,322,0
16,27,323,1
16,27,324,1
16,27,325,0
16,27,326,0
16,27,327,0
16,27,328,0
16,27,329,0
16,27,330,1
16,27,331,0
16,27,332,0
16,27,333,0
