N,M,id,E,ntrials
128,212,1,0,5
128,212,2,0,5
128,212,3,0,5
128,212,4,0,5
128,212,5,0,5
128,212,6,0,5
128,212,7,0,5
128,212,8,0,5
128,212,9,0,5
128,212,10,0,5
128,212,11,0,5
128,212,12,0,5
128,212,13,0,5
128,212,14,0,5
128,212,15,0,5
128,212,16,0,5
128,212,17,0,5
128,212,18,0,5
128,212,19,0,5
128,212,20,0,5
128,212,21,0,5
128,212,22,0,5
128,212,23,0,5
128,212,24,0,5
128,212,25,0,5
128,212,26,0,5
128,212,27,0,5
128,212,28,0,5
128,212,29,0,5
128,212,30,0,5
128,212,31,0,5
128,212,32,0,5
128,212,33,0,5
128,212,34,0,5
128,212,35,0,5
128,212,36,0,5
128,212,37,0,5
128,212,38,0,5
128,212,39,0,5
128,212,40,0,5
128,212,41,0,5
128,212,42,0,5
128,212,43,0,5
128,212,44,0,5
128,212,45,0,5
128,212,46,0,5
128,212,47,0,5
128,212,48,0,5
128,212,49,0,5
128,212,50,0,5
128,212,51,0,5
128,212,52,0,5
128,212,53,0,5
128,212,54,0,5
128,212,55,0,5
128,212,56,0,5
128,212,57,0,5
128,212,58,0,5
128,212,59,0,5
128,212,60,0,5
128,212,61,0,5
128,212,62,0,5
128,212,63,0,5
128,212,64,0,5
128,212,65,0,5
128,212,66,0,5
128,212,67,0,5
128,212,68,0,5
128,212,69,0,5
128,212,70,0,5
128,212,71,0,5
128,212,72,0,5
128,212,73,0,5
128,212,74,0,5
128,212,75,0,5
128,212,76,0,5
128,212,77,0,5
128,212,78,0,5
128,212,79,0,5
128,212,80,0,5
128,212,81,0,5
128,212,82,0,5
128,212,83,0,5
128,212,84,0,5
128,212,85,0,5
128,212,86,0,5
128,212,87,0,5
128,212,88,0,5
128,212,89,0,5
128,212,90,0,5
128,212,91,0,5
128,212,92,0,5
128,212,93,0,5
128,212,94,0,5
128,212,95,0,5
128,212,96,0,5
128,212,97,0,5
128,212,98,0,5
128,212,99,0,5
128,212,100,0,5
128,212,101,0,5
128,212,102,0,5
128,212,103,0,5
128,212,104,0,5
128,212,105,0,5
128,212,106,0,5
128,212,107,0,5
128,212,108,0,5
128,212,109,0,5
128,212,110,0,5
128,212,111,0,5
128,212,112,0,5
128,212,113,0,5
128,212,114,0,5
128,212,115,0,5
128,212,116,0,5
128,212,117,0,5
128,212,118,0,5
128,212,119,0,5
128,212,120,0,5
128,212,121,0,5
128,212,122,0,5
128,212,123,0,5
128,212,124,0,5
128,212,125,0,5
128,212,126,0,5
128,212,127,0,5
128,212,128,0,5
128,212,129,0,5
128,212,130,0,5
128,212,131,0,5
128,212,132,0,5
128,212,133,0,5
128,212,134,0,5
128,212,135,0,5
128,212,136,0,5
128,212,137,0,5
128,212,138,0,5
128,212,139,0,5
128,212,140,0,5
128,212,141,0,5
128,212,142,0,5
128,212,143,0,5
128,212,144,0,5
128,212,145,0,5
128,212,146,0,5
128,212,147,0,5
128,212,148,0,5
128,212,149,0,5
128,212,150,0,5
128,212,151,0,5
128,212,152,0,5
128,212,153,0,5
128,212,154,0,5
128,212,155,0,5
128,212,156,0,5
128,212,157,0,5
128,212,158,0,5
128,212,159,0,5
128,212,160,0,5
128,212,161,0,5
128,212,162,0,5
128,212,163,0,5
128,212,164,0,5
128,212,165,0,5
128,212,166,0,5
128,212,167,0,5
128,212,168,0,5
128,212,169,0,5
128,212,170,0,5
128,212,171,0,5
128,212,172,0,5
128,212,173,0,5
128,212,174,0,5
128,212,175,0,5
128,212,176,0,5
128,212,177,0,5
128,212,178,0,5
128,212,179,0,5
128,212,180,0,5
128,212,181,0,5
128,212,182,0,5
128,212,183,0,5
128,212,184,0,5
128,212,185,0,5
128,212,186,0,5
128,212,187,0,5
128,212,188,0,5
128,212,189,0,5
128,212,190,0,5
128,212,191,0,5
128,212,192,0,5
128,212,193,0,5
