N,M,id,E,time(s)
4096,12288,1,0,0.015798
4096,12288,2,0,0.015414
4096,12288,3,0,0.01541
4096,12288,4,0,0.015818
4096,12288,5,0,0.015238
4096,12288,6,0,0.015513
4096,12288,7,0,0.015392
4096,12288,8,0,0.015665
4096,12288,9,0,0.015068
4096,12288,10,0,0.015391
4096,12288,11,0,0.015322
4096,12288,12,0,0.014789
4096,12288,13,0,0.015243
4096,12288,14,0,0.01534
4096,12288,15,0,0.015215
4096,12288,16,0,0.015144
4096,12288,17,0,0.014506
4096,12288,18,0,0.014643
4096,12288,19,0,0.014349
4096,12288,20,0,0.014486
4096,12288,21,0,0.015393
4096,12288,22,0,0.015577
4096,12288,23,0,0.015471
4096,12288,24,0,0.015504
4096,12288,25,0,0.015868
4096,12288,26,0,0.016267
4096,12288,27,0,0.015708
4096,12288,28,0,0.01447
4096,12288,29,0,0.014946
4096,12288,30,0,0.015279
4096,12288,31,0,0.015633
4096,12288,32,0,0.015313
4096,12288,33,0,0.015108
4096,12288,34,0,0.015558
4096,12288,35,0,0.015298
4096,12288,36,0,0.015504
4096,12288,37,0,0.015371
4096,12288,38,0,0.015057
4096,12288,39,0,0.015031
4096,12288,40,0,0.015445
4096,12288,41,0,0.015551
4096,12288,42,0,0.014728
4096,12288,43,0,0.014349
4096,12288,44,0,0.01468
4096,12288,45,0,0.014746
4096,12288,46,0,0.015444
4096,12288,47,0,0.015588
4096,12288,48,0,0.015022
4096,12288,49,0,0.015385
4096,12288,50,0,0.015779
4096,12288,51,0,0.01534
4096,12288,52,0,0.015219
4096,12288,53,0,0.014752
4096,12288,54,0,0.015033
4096,12288,55,0,0.015589
4096,12288,56,0,0.015918
4096,12288,57,0,0.015806
4096,12288,58,0,0.01475
4096,12288,59,0,0.014464
4096,12288,60,0,0.014217
4096,12288,61,0,0.015145
4096,12288,62,0,0.015183
4096,12288,63,0,0.015558
4096,12288,64,0,0.015922
4096,12288,65,0,0.015495
4096,12288,66,0,0.015582
4096,12288,67,0,0.015729
4096,12288,68,0,0.015612
4096,12288,69,0,0.015843
4096,12288,70,0,0.015088
4096,12288,71,0,0.015049
