N,M,id,E,sweeps
16,128,1,0,59
16,128,2,0,970
16,128,3,0,7
16,128,4,0,2
16,128,5,0,1
16,128,6,0,192
16,128,7,0,3
16,128,8,0,4
16,128,9,0,493
16,128,10,0,181
16,128,11,0,7
16,128,12,0,7
16,128,13,0,390
16,128,14,0,2
16,128,15,0,2
16,128,16,0,2
16,128,17,0,1
16,128,18,0,1830
16,128,19,0,43
16,128,20,0,2
16,128,21,0,12
16,128,22,0,5
16,128,23,0,2
16,128,24,0,3
16,128,25,0,9
16,128,26,0,1
16,128,27,0,6
16,128,28,0,1
16,128,29,0,5
16,128,30,0,3
16,128,31,0,2
16,128,32,0,2
16,128,33,0,3
16,128,34,0,3
16,128,35,0,6
16,128,36,0,5
16,128,37,0,5
16,128,38,0,4
16,128,39,0,1
16,128,40,0,2
16,128,41,0,8
16,128,42,0,45
16,128,43,0,3
16,128,44,0,5
16,128,45,0,89
16,128,46,0,33
16,128,47,0,2
16,128,48,0,3
16,128,49,0,2
16,128,50,0,3
16,128,51,0,8
16,128,52,0,2
16,128,53,0,3
16,128,54,0,2
16,128,55,0,2
16,128,56,0,98
16,128,57,0,2
16,128,58,0,4
16,128,59,0,1
16,128,60,0,2
16,128,61,0,1
16,128,62,0,9
16,128,63,0,2
16,128,64,0,2
16,128,65,0,3
16,128,66,0,11
16,128,67,0,71
16,128,68,0,17
16,128,69,0,1
16,128,70,0,3
16,128,71,0,3870
16,128,72,0,6
16,128,73,0,4
16,128,74,0,6
16,128,75,0,3
16,128,76,0,2
16,128,77,0,984
16,128,78,0,225
16,128,79,0,1
16,128,80,0,529
16,128,81,0,3
16,128,82,0,1514
16,128,83,0,119
16,128,84,0,64
16,128,85,0,408
16,128,86,0,3
16,128,87,0,5
16,128,88,0,3
16,128,89,0,3
16,128,90,0,3
16,128,91,0,33
16,128,92,0,3
16,128,93,0,3
16,128,94,0,1
16,128,95,0,2
16,128,96,0,2
16,128,97,0,46
16,128,98,0,2
16,128,99,0,57
16,128,100,0,5
16,128,101,0,21
16,128,102,0,399
16,128,103,0,28
16,128,104,0,78
16,128,105,0,3
16,128,106,0,3
16,128,107,0,3
16,128,108,0,16
16,128,109,0,3
16,128,110,0,107
16,128,111,0,9
16,128,112,0,6
16,128,113,0,677
16,128,114,0,1
16,128,115,0,6
16,128,116,0,16
16,128,117,0,3
16,128,118,0,2
16,128,119,0,15
16,128,120,0,698
16,128,121,0,250
16,128,122,0,2
16,128,123,0,10
16,128,124,0,2
16,128,125,0,3
16,128,126,0,3
16,128,127,0,57
16,128,128,0,3
16,128,129,0,33
16,128,130,0,5
16,128,131,0,710
16,128,132,0,2
16,128,133,0,122
16,128,134,0,4
16,128,135,0,49
16,128,136,0,3
16,128,137,0,5
16,128,138,0,3
16,128,139,0,3
16,128,140,0,3
16,128,141,0,2
16,128,142,0,1
16,128,143,0,6
16,128,144,0,7
16,128,145,0,3
16,128,146,0,121
16,128,147,0,41
16,128,148,0,4
16,128,149,0,4
16,128,150,0,20
16,128,151,0,24
16,128,152,0,7
16,128,153,0,13
16,128,154,0,4
16,128,155,0,5
16,128,156,0,1174
16,128,157,0,153
16,128,158,0,4
16,128,159,0,3
16,128,160,0,4
16,128,161,0,106
16,128,162,0,3
16,128,163,0,2
16,128,164,0,25
16,128,165,0,3
16,128,166,0,3
16,128,167,0,6
16,128,168,0,41
16,128,169,0,2
16,128,170,0,160
16,128,171,0,4
16,128,172,0,1
16,128,173,0,136
16,128,174,0,2
16,128,175,0,2
