N,M,id,E,sweeps
16,128,1,0,59
16,128,2,0,1006
16,128,3,0,2
16,128,4,0,6
16,128,5,0,5
16,128,6,0,3
16,128,7,0,132
16,128,8,0,232
16,128,9,0,16
16,128,10,0,5
16,128,11,0,1
16,128,12,0,3
16,128,13,0,9
16,128,14,0,2
16,128,15,0,2
16,128,16,0,17
16,128,17,0,29
16,128,18,0,474
16,128,19,0,2
16,128,20,0,3
16,128,21,0,102
16,128,22,0,1
16,128,23,0,2
16,128,24,0,2
16,128,25,0,3364
16,128,26,0,2
16,128,27,0,4
16,128,28,0,2
16,128,29,0,5
16,128,30,0,4
16,128,31,0,5
16,128,32,0,2
16,128,33,0,2
16,128,34,0,4
16,128,35,0,5
16,128,36,0,3
16,128,37,0,1
16,128,38,0,6
16,128,39,0,221
16,128,40,0,124
16,128,41,0,47
16,128,42,0,3
16,128,43,0,28
16,128,44,0,65
16,128,45,0,5
16,128,46,0,5
16,128,47,0,9
16,128,48,0,12
16,128,49,0,2
16,128,50,0,3
16,128,51,0,9
16,128,52,0,2
16,128,53,0,9
16,128,54,0,159
16,128,55,0,2
16,128,56,0,9
16,128,57,0,2
16,128,58,0,5
16,128,59,0,6
16,128,60,0,2
16,128,61,0,354
16,128,62,0,59
16,128,63,0,3
16,128,64,0,15
16,128,65,0,6
16,128,66,0,1
16,128,67,0,3
16,128,68,0,2
16,128,69,0,2
16,128,70,0,753
16,128,71,1,16000
16,128,72,0,1
16,128,73,0,5
16,128,74,0,421
16,128,75,0,1
16,128,76,0,2
16,128,77,0,61
16,128,78,0,5301
16,128,79,0,2
16,128,80,0,25
16,128,81,0,8
16,128,82,1,16000
16,128,83,0,92
16,128,84,0,2
16,128,85,0,6
16,128,86,0,3
16,128,87,0,4
16,128,88,0,2
16,128,89,0,1
16,128,90,0,5
16,128,91,0,13
16,128,92,0,2
16,128,93,0,18
16,128,94,0,2
16,128,95,0,2
16,128,96,0,28
16,128,97,0,3
16,128,98,0,8
16,128,99,0,2
16,128,100,0,2
16,128,101,0,19
16,128,102,0,35
16,128,103,0,6
16,128,104,0,3
16,128,105,0,70
16,128,106,0,2
16,128,107,0,758
16,128,108,0,9
16,128,109,0,50
16,128,110,0,130
16,128,111,0,342
16,128,112,0,3
16,128,113,1,16000
16,128,114,0,5
16,128,115,0,3
16,128,116,0,39
16,128,117,0,1
16,128,118,0,5
16,128,119,0,1279
16,128,120,0,3
16,128,121,0,69
16,128,122,0,2
16,128,123,0,4
16,128,124,0,5
16,128,125,0,2
16,128,126,0,8
16,128,127,0,12
16,128,128,0,2
16,128,129,0,142
16,128,130,0,5
16,128,131,0,4
16,128,132,0,3
16,128,133,0,338
16,128,134,0,17
16,128,135,0,2
16,128,136,1,16000
16,128,137,0,2
16,128,138,0,5
16,128,139,0,7
16,128,140,0,2
16,128,141,0,2
16,128,142,0,19
16,128,143,0,5
16,128,144,0,51
16,128,145,0,4
16,128,146,0,398
16,128,147,0,1
16,128,148,0,3
16,128,149,0,3
16,128,150,0,3
16,128,151,0,17
16,128,152,0,5
16,128,153,0,1
16,128,154,0,4
16,128,155,0,2508
16,128,156,0,15
16,128,157,0,5
16,128,158,0,12
16,128,159,0,1
16,128,160,0,1
16,128,161,0,3
16,128,162,0,7
16,128,163,0,3
16,128,164,0,1
16,128,165,0,4
16,128,166,0,200
16,128,167,0,16
16,128,168,0,3
16,128,169,0,20
16,128,170,0,271
16,128,171,0,32
16,128,172,0,437
16,128,173,0,47
16,128,174,0,38
16,128,175,0,4
16,128,176,0,40
16,128,177,0,303
16,128,178,0,58
16,128,179,0,6
16,128,180,0,2
16,128,181,0,4
16,128,182,1,16000
16,128,183,0,1
16,128,184,0,2
16,128,185,0,2
16,128,186,0,12
16,128,187,0,61
16,128,188,0,5
16,128,189,0,7
16,128,190,0,3
16,128,191,0,5
16,128,192,0,1
16,128,193,0,1
16,128,194,0,148
16,128,195,0,9
16,128,196,0,4
16,128,197,0,1
16,128,198,0,16
16,128,199,0,2
16,128,200,0,17
16,130,1,0,183
16,130,2,0,3
16,130,3,0,2
16,130,4,0,1
16,130,5,0,3
16,130,6,0,97
16,130,7,0,2
16,130,8,0,61
16,130,9,0,1
16,130,10,0,4
16,130,11,0,135
16,130,12,0,36
16,130,13,0,245
16,130,14,0,2
16,130,15,0,30
16,130,16,0,4
16,130,17,0,366
16,130,18,0,5
16,130,19,0,396
16,130,20,0,15
16,130,21,0,1
16,130,22,0,3
16,130,23,0,633
16,130,24,0,3
16,130,25,0,476
16,130,26,0,4
16,130,27,0,75
16,130,28,0,4
16,130,29,0,8
16,130,30,0,4
16,130,31,0,2
16,130,32,0,4
16,130,33,0,127
16,130,34,0,3
16,130,35,0,5
16,130,36,0,6
16,130,37,0,3
16,130,38,0,114
16,130,39,0,33
16,130,40,0,3
16,130,41,0,5
16,130,42,0,68
16,130,43,0,6
16,130,44,1,16000
16,130,45,0,78
16,130,46,0,3
16,130,47,0,137
16,130,48,0,74
16,130,49,0,4
16,130,50,1,16000
16,130,51,0,2
16,130,52,0,3
16,130,53,0,17
16,130,54,0,2
16,130,55,0,2
16,130,56,0,6
16,130,57,0,111
16,130,58,0,5
16,130,59,0,138
16,130,60,0,1
16,130,61,0,4
16,130,62,0,15
16,130,63,0,45
16,130,64,0,64
16,130,65,0,5
16,130,66,0,5
16,130,67,0,4
16,130,68,0,10
16,130,69,0,3
16,130,70,0,2
16,130,71,0,2
16,130,72,0,1
16,130,73,0,6
16,130,74,0,4
16,130,75,0,2
16,130,76,0,556
16,130,77,0,3
16,130,78,0,63
16,130,79,1,16000
16,130,80,0,55
16,130,81,0,2
16,130,82,0,1
16,130,83,0,1
16,130,84,0,2
16,130,85,0,609
16,130,86,0,7
