N,M,id,E,Time[s]
16,128,1,0,0.0180628
16,128,2,0,0.0438049
16,128,3,0,0.0156004
16,128,4,0,0.0183688
16,128,5,0,0.0174184
16,128,6,0,0.0124794
16,128,7,0,0.0123409
16,128,8,0,0.0117948
16,128,9,4,0.00126878
16,128,10,0,0.0203397
16,128,11,0,0.00260367
16,128,12,0,0.0148259
16,128,13,0,0.0433811
16,128,14,0,0.0423563
16,128,15,0,0.0172516
16,128,16,0,0.0120158
16,128,17,0,0.0298769
16,128,18,1,15.76
16,128,19,0,0.0240263
16,128,20,0,0.0211277
16,128,21,0,0.024967
16,128,22,0,0.0181834
16,128,23,0,0.0275011
16,128,24,0,0.0179044
16,128,25,23,0.00471733
16,128,26,0,0.0155348
16,128,27,0,0.0303139
16,128,28,0,0.0153076
16,128,29,0,0.0244541
16,128,30,0,0.0226308
16,128,31,0,0.0267877
16,128,32,0,0.0478141
16,128,33,0,0.022551
16,128,34,0,0.0392815
16,128,35,0,0.0303723
16,128,36,0,0.0157794
16,128,37,0,0.0320377
16,128,38,0,0.0207809
16,128,39,0,0.0122442
16,128,40,0,0.0348998
16,128,41,0,0.043578
16,128,42,3,0.00286185
16,128,43,0,0.0155152
16,128,44,0,0.0010255
16,128,45,0,0.0356127
16,128,46,0,0.0281563
16,128,47,0,0.0178264
16,128,48,0,0.028703
16,128,49,0,0.00109163
16,128,50,0,0.0204679
16,128,51,0,0.0397359
16,128,52,0,0.0440324
16,128,53,0,0.0254357
16,128,54,0,0.0245807
16,128,55,0,0.0127146
16,128,56,2,0.00184237
16,128,57,0,0.0183593
16,128,58,0,0.00198204
16,128,59,0,0.0223281
16,128,60,0,0.0181927
16,128,61,0,0.0292081
16,128,62,0,0.0184906
16,128,63,0,0.0316631
16,128,64,0,0.0264076
16,128,65,0,0.0374489
16,128,66,0,0.0245457
16,128,67,0,0.0216282
16,128,68,0,0.024017
16,128,69,0,0.023785
16,128,70,2,0.000893047
16,128,71,4,0.00344446
16,128,72,0,0.0308625
16,128,73,0,0.0211196
16,128,74,0,0.0431265
16,128,75,0,0.0153715
16,128,76,0,0.0186822
16,128,77,0,0.0123744
16,128,78,0,0.000980392
16,128,79,0,0.0219191
16,128,80,2,0.00265225
16,128,81,0,0.00103941
16,128,82,3,0.0034019
16,128,83,2,0.00280604
16,128,84,0,0.0186591
16,128,85,5,0.0014344
16,128,86,0,0.0282922
