N,M,id,E,max_iters
16,79,1,5,10000
16,79,2,7,10000
16,79,3,10,10000
16,79,4,8,10000
16,79,5,5,10000
16,79,6,4,10000
16,79,7,8,10000
16,79,8,7,10000
16,79,9,6,10000
16,79,10,6,10000
16,79,11,4,10000
16,79,12,7,10000
16,79,13,6,10000
16,79,14,6,10000
16,79,15,0,10000
16,79,16,7,10000
16,79,17,9,10000
16,79,18,6,10000
16,79,19,8,10000
16,79,20,6,10000
16,79,21,8,10000
16,79,22,6,10000
16,79,23,8,10000
16,79,24,3,10000
16,79,25,4,10000
16,79,26,7,10000
16,79,27,6,10000
16,79,28,4,10000
16,79,29,9,10000
16,79,30,9,10000
16,79,31,6,10000
16,79,32,8,10000
16,79,33,6,10000
16,79,34,6,10000
16,79,35,6,10000
16,79,36,5,10000
16,79,37,10,10000
16,79,38,8,10000
16,79,39,5,10000
16,79,40,6,10000
16,79,41,5,10000
16,79,42,12,10000
16,79,43,9,10000
16,79,44,6,10000
16,79,45,3,10000
16,79,46,3,10000
16,79,47,7,10000
16,79,48,7,10000
16,79,49,5,10000
16,79,50,6,10000
16,79,51,5,10000
16,79,52,5,10000
16,79,53,11,10000
16,79,54,5,10000
16,79,55,7,10000
16,79,56,5,10000
16,79,57,5,10000
16,79,58,4,10000
16,79,59,4,10000
16,79,60,9,10000
16,79,61,7,10000
16,79,62,4,10000
16,79,63,4,10000
16,79,64,4,10000
16,79,65,7,10000
16,79,66,8,10000
16,79,67,7,10000
16,79,68,9,10000
16,79,69,6,10000
16,79,70,7,10000
16,79,71,7,10000
16,79,72,9,10000
16,79,73,8,10000
16,79,74,10,10000
16,79,75,9,10000
16,79,76,12,10000
16,79,77,6,10000
16,79,78,9,10000
16,79,79,9,10000
16,79,80,6,10000
16,79,81,7,10000
16,79,82,6,10000
16,79,83,5,10000
16,79,84,6,10000
16,79,85,11,10000
16,79,86,6,10000
16,79,87,10,10000
16,79,88,6,10000
16,79,89,5,10000
16,79,90,7,10000
16,79,91,3,10000
16,79,92,9,10000
16,79,93,9,10000
16,79,94,5,10000
16,79,95,6,10000
16,79,96,5,10000
16,79,97,4,10000
16,79,98,4,10000
16,79,99,9,10000
16,79,100,4,10000
16,79,101,8,10000
16,79,102,6,10000
16,79,103,7,10000
16,79,104,6,10000
16,79,105,8,10000
16,79,106,5,10000
16,79,107,8,10000
16,79,108,6,10000
16,79,109,11,10000
16,79,110,5,10000
16,79,111,6,10000
16,79,112,5,10000
16,79,113,4,10000
16,79,114,8,10000
16,79,115,6,10000
16,79,116,4,10000
16,79,117,9,10000
16,79,118,7,10000
16,79,119,6,10000
16,79,120,8,10000
16,79,121,6,10000
16,79,122,10,10000
16,79,123,6,10000
16,79,124,3,10000
16,79,125,8,10000
16,79,126,7,10000
16,79,127,6,10000
16,79,128,8,10000
16,79,129,5,10000
16,79,130,3,10000
16,79,131,7,10000
16,79,132,5,10000
16,79,133,7,10000
16,79,134,6,10000
16,79,135,8,10000
16,79,136,8,10000
16,79,137,5,10000
16,79,138,6,10000
16,79,139,9,10000
16,79,140,5,10000
16,79,141,8,10000
16,79,142,4,10000
16,79,143,6,10000
16,79,144,13,10000
16,79,145,10,10000
16,79,146,7,10000
16,79,147,6,10000
16,79,148,7,10000
16,79,149,7,10000
16,79,150,7,10000
16,79,151,10,10000
16,79,152,9,10000
16,79,153,6,10000
16,79,154,7,10000
16,79,155,4,10000
16,79,156,2,10000
16,79,157,9,10000
16,79,158,8,10000
16,79,159,7,10000
16,79,160,9,10000
16,79,161,9,10000
16,79,162,6,10000
16,79,163,9,10000
16,79,164,4,10000
16,79,165,6,10000
16,79,166,8,10000
16,79,167,4,10000
16,79,168,7,10000
16,79,169,5,10000
16,79,170,6,10000
16,79,171,11,10000
16,79,172,9,10000
16,79,173,6,10000
16,79,174,13,10000
16,79,175,3,10000
16,79,176,7,10000
16,79,177,11,10000
16,79,178,9,10000
16,79,179,9,10000
16,79,180,14,10000
16,79,181,6,10000
16,79,182,9,10000
16,79,183,6,10000
16,79,184,11,10000
16,79,185,8,10000
16,79,186,6,10000
16,79,187,6,10000
16,79,188,7,10000
16,79,189,6,10000
16,79,190,6,10000
16,79,191,5,10000
16,79,192,10,10000
16,79,193,9,10000
16,79,194,6,10000
16,79,195,2,10000
16,79,196,11,10000
16,79,197,10,10000
16,79,198,2,10000
16,79,199,7,10000
16,79,200,5,10000
16,79,201,7,10000
16,79,202,7,10000
16,79,203,8,10000
16,79,204,4,10000
16,79,205,7,10000
16,79,206,11,10000
16,79,207,7,10000
16,79,208,8,10000
16,79,209,8,10000
16,79,210,7,10000
16,79,211,5,10000
16,79,212,7,10000
16,79,213,6,10000
16,79,214,7,10000
16,79,215,6,10000
16,79,216,7,10000
16,79,217,6,10000
16,79,218,8,10000
16,79,219,7,10000
16,79,220,3,10000
16,79,221,5,10000
16,79,222,6,10000
16,79,223,7,10000
16,79,224,8,10000
16,79,225,4,10000
16,79,226,8,10000
16,79,227,8,10000
16,79,228,6,10000
16,79,229,6,10000
16,79,230,3,10000
16,79,231,5,10000
16,79,232,10,10000
16,79,233,8,10000
16,79,234,7,10000
16,79,235,9,10000
16,79,236,7,10000
16,79,237,6,10000
16,79,238,7,10000
16,79,239,11,10000
16,79,240,5,10000
16,79,241,10,10000
16,79,242,0,10000
16,79,243,8,10000
16,79,244,6,10000
16,79,245,4,10000
16,79,246,7,10000
16,79,247,9,10000
16,79,248,4,10000
16,79,249,11,10000
16,79,250,6,10000
16,79,251,7,10000
16,79,252,6,10000
16,79,253,8,10000
16,79,254,6,10000
16,79,255,6,10000
16,79,256,6,10000
16,79,257,4,10000
16,79,258,8,10000
16,79,259,9,10000
16,79,260,12,10000
16,79,261,5,10000
16,79,262,7,10000
16,79,263,11,10000
16,79,264,3,10000
16,79,265,11,10000
16,79,266,8,10000
16,79,267,7,10000
16,79,268,10,10000
16,79,269,7,10000
16,79,270,5,10000
16,79,271,6,10000
16,79,272,3,10000
16,79,273,7,10000
16,79,274,10,10000
16,79,275,6,10000
16,79,276,8,10000
16,79,277,6,10000
16,79,278,11,10000
16,79,279,9,10000
16,79,280,7,10000
16,79,281,5,10000
16,79,282,12,10000
16,79,283,6,10000
16,79,284,6,10000
16,79,285,9,10000
16,79,286,6,10000
16,79,287,4,10000
16,79,288,8,10000
16,79,289,9,10000
16,79,290,6,10000
16,79,291,7,10000
16,79,292,7,10000
16,79,293,8,10000
16,79,294,6,10000
16,79,295,9,10000
16,79,296,8,10000
16,79,297,7,10000
16,79,298,8,10000
16,79,299,7,10000
16,79,300,4,10000
16,79,301,5,10000
16,79,302,8,10000
16,79,303,9,10000
16,79,304,4,10000
16,79,305,10,10000
16,79,306,7,10000
16,79,307,6,10000
16,79,308,7,10000
16,79,309,7,10000
16,79,310,12,10000
16,79,311,7,10000
16,79,312,6,10000
16,79,313,5,10000
16,79,314,11,10000
16,79,315,4,10000
16,79,316,7,10000
16,79,317,5,10000
16,79,318,9,10000
16,79,319,8,10000
16,79,320,7,10000
16,79,321,7,10000
16,79,322,10,10000
16,79,323,7,10000
16,79,324,10,10000
16,79,325,7,10000
16,79,326,4,10000
16,79,327,6,10000
16,79,328,4,10000
16,79,329,7,10000
16,79,330,6,10000
16,79,331,10,10000
16,79,332,8,10000
16,79,333,11,10000
16,79,334,10,10000
16,79,335,3,10000
16,79,336,5,10000
16,79,337,7,10000
16,79,338,4,10000
16,79,339,6,10000
16,79,340,7,10000
16,79,341,8,10000
16,79,342,5,10000
16,79,343,7,10000
16,79,344,3,10000
16,79,345,10,10000
16,79,346,8,10000
16,79,347,7,10000
16,79,348,8,10000
16,79,349,5,10000
16,79,350,5,10000
16,79,351,10,10000
16,79,352,7,10000
16,79,353,9,10000
16,79,354,8,10000
16,79,355,6,10000
16,79,356,9,10000
16,79,357,6,10000
16,79,358,7,10000
16,79,359,7,10000
16,79,360,9,10000
16,79,361,2,10000
16,79,362,7,10000
16,79,363,8,10000
16,79,364,7,10000
16,79,365,9,10000
16,79,366,6,10000
16,79,367,4,10000
16,79,368,3,10000
16,79,369,8,10000
16,79,370,5,10000
16,79,371,3,10000
16,79,372,6,10000
16,79,373,8,10000
16,79,374,11,10000
16,79,375,8,10000
16,79,376,10,10000
16,79,377,6,10000
16,79,378,5,10000
16,79,379,8,10000
16,79,380,6,10000
16,79,381,8,10000
16,79,382,6,10000
16,79,383,5,10000
16,79,384,6,10000
16,79,385,11,10000
16,79,386,8,10000
16,79,387,2,10000
16,79,388,10,10000
16,79,389,7,10000
16,79,390,5,10000
16,79,391,7,10000
16,79,392,5,10000
16,79,393,6,10000
16,79,394,3,10000
16,79,395,8,10000
16,79,396,6,10000
16,79,397,8,10000
16,79,398,11,10000
16,79,399,9,10000
16,79,400,7,10000
16,82,1,7,10000
16,82,2,10,10000
16,82,3,8,10000
16,82,4,9,10000
16,82,5,8,10000
16,82,6,4,10000
16,82,7,10,10000
16,82,8,10,10000
16,82,9,10,10000
16,82,10,5,10000
16,82,11,10,10000
16,82,12,10,10000
16,82,13,9,10000
16,82,14,9,10000
16,82,15,5,10000
16,82,16,13,10000
16,82,17,10,10000
16,82,18,7,10000
16,82,19,7,10000
16,82,20,7,10000
16,82,21,2,10000
16,82,22,6,10000
16,82,23,6,10000
16,82,24,4,10000
16,82,25,9,10000
16,82,26,9,10000
16,82,27,10,10000
16,82,28,9,10000
16,82,29,8,10000
16,82,30,6,10000
16,82,31,9,10000
16,82,32,8,10000
16,82,33,6,10000
16,82,34,8,10000
16,82,35,7,10000
16,82,36,9,10000
16,82,37,6,10000
16,82,38,9,10000
16,82,39,7,10000
16,82,40,6,10000
16,82,41,12,10000
16,82,42,6,10000
16,82,43,9,10000
16,82,44,9,10000
16,82,45,6,10000
16,82,46,7,10000
16,82,47,8,10000
16,82,48,9,10000
16,82,49,10,10000
16,82,50,10,10000
16,82,51,7,10000
16,82,52,7,10000
16,82,53,11,10000
16,82,54,10,10000
16,82,55,6,10000
16,82,56,5,10000
16,82,57,8,10000
16,82,58,7,10000
16,82,59,10,10000
16,82,60,8,10000
16,82,61,10,10000
16,82,62,7,10000
16,82,63,10,10000
16,82,64,10,10000
16,82,65,10,10000
16,82,66,8,10000
16,82,67,9,10000
16,82,68,12,10000
16,82,69,8,10000
16,82,70,11,10000
16,82,71,7,10000
16,82,72,10,10000
16,82,73,8,10000
16,82,74,2,10000
16,82,75,8,10000
16,82,76,7,10000
16,82,77,10,10000
16,82,78,6,10000
16,82,79,11,10000
16,82,80,8,10000
16,82,81,8,10000
16,82,82,10,10000
16,82,83,9,10000
16,82,84,6,10000
16,82,85,8,10000
16,82,86,10,10000
16,82,87,10,10000
16,82,88,10,10000
16,82,89,11,10000
16,82,90,9,10000
16,82,91,10,10000
16,82,92,8,10000
16,82,93,7,10000
16,82,94,9,10000
16,82,95,9,10000
16,82,96,5,10000
16,82,97,7,10000
16,82,98,8,10000
16,82,99,8,10000
16,82,100,6,10000
16,82,101,9,10000
16,82,102,8,10000
16,82,103,5,10000
16,82,104,10,10000
16,82,105,7,10000
16,82,106,8,10000
16,82,107,11,10000
16,82,108,5,10000
16,82,109,7,10000
16,82,110,11,10000
16,82,111,7,10000
16,82,112,5,10000
16,82,113,9,10000
16,82,114,6,10000
16,82,115,8,10000
16,82,116,8,10000
16,82,117,7,10000
16,82,118,6,10000
16,82,119,9,10000
16,82,120,10,10000
16,82,121,8,10000
16,82,122,9,10000
16,82,123,9,10000
16,82,124,5,10000
16,82,125,10,10000
16,82,126,5,10000
16,82,127,6,10000
16,82,128,6,10000
16,82,129,9,10000
16,82,130,8,10000
16,82,131,5,10000
16,82,132,8,10000
16,82,133,12,10000
16,82,134,5,10000
16,82,135,10,10000
16,82,136,7,10000
16,82,137,10,10000
16,82,138,3,10000
16,82,139,11,10000
16,82,140,8,10000
16,82,141,7,10000
