N,M,id,E,max_iters
16,79,1,3,1000
16,79,2,3,1000
16,79,3,9,1000
16,79,4,0,1000
16,79,5,7,1000
16,79,6,0,1000
16,79,7,8,1000
16,79,8,10,1000
16,79,9,8,1000
16,79,10,2,1000
16,79,11,0,1000
16,79,12,3,1000
16,79,13,7,1000
16,79,14,6,1000
16,79,15,0,1000
16,79,16,0,1000
16,79,17,10,1000
16,79,18,5,1000
16,79,19,0,1000
16,79,20,0,1000
16,79,21,7,1000
16,79,22,6,1000
16,79,23,9,1000
16,79,24,3,1000
16,79,25,2,1000
16,79,26,7,1000
16,79,27,7,1000
16,79,28,3,1000
16,79,29,5,1000
16,79,30,11,1000
16,79,31,9,1000
16,79,32,6,1000
16,79,33,4,1000
16,79,34,7,1000
16,79,35,6,1000
16,79,36,0,1000
16,79,37,6,1000
16,79,38,7,1000
16,79,39,11,1000
16,79,40,10,1000
16,79,41,5,1000
16,79,42,6,1000
16,79,43,8,1000
16,79,44,10,1000
16,79,45,5,1000
16,79,46,6,1000
16,79,47,4,1000
16,79,48,0,1000
16,79,49,0,1000
16,79,50,8,1000
16,79,51,8,1000
16,79,52,0,1000
16,79,53,9,1000
16,79,54,6,1000
16,79,55,8,1000
16,79,56,12,1000
16,79,57,9,1000
16,79,58,10,1000
16,79,59,4,1000
16,79,60,0,1000
16,79,61,10,1000
16,79,62,3,1000
16,79,63,9,1000
16,79,64,0,1000
16,79,65,6,1000
16,79,66,0,1000
16,79,67,6,1000
16,79,68,9,1000
16,79,69,8,1000
16,79,70,0,1000
16,79,71,0,1000
16,79,72,9,1000
16,79,73,5,1000
16,79,74,10,1000
16,79,75,0,1000
16,79,76,7,1000
16,79,77,11,1000
16,79,78,10,1000
16,79,79,6,1000
16,79,80,11,1000
16,79,81,9,1000
16,79,82,0,1000
16,79,83,9,1000
16,79,84,12,1000
16,79,85,8,1000
16,79,86,10,1000
16,79,87,11,1000
16,79,88,12,1000
16,79,89,5,1000
16,79,90,5,1000
16,79,91,8,1000
16,79,92,7,1000
16,79,93,3,1000
16,79,94,3,1000
16,79,95,0,1000
16,79,96,4,1000
16,79,97,10,1000
16,79,98,8,1000
16,79,99,8,1000
16,79,100,10,1000
16,79,101,3,1000
16,79,102,6,1000
16,79,103,9,1000
16,79,104,8,1000
16,79,105,8,1000
16,79,106,5,1000
16,79,107,6,1000
16,79,108,0,1000
16,79,109,0,1000
16,79,110,13,1000
16,79,111,10,1000
16,79,112,4,1000
16,79,113,6,1000
16,79,114,6,1000
16,79,115,13,1000
16,79,116,6,1000
16,79,117,8,1000
16,79,118,3,1000
16,79,119,7,1000
16,79,120,0,1000
16,79,121,3,1000
16,79,122,0,1000
16,79,123,7,1000
16,79,124,7,1000
16,79,125,10,1000
16,79,126,6,1000
16,79,127,5,1000
16,79,128,7,1000
16,79,129,4,1000
16,79,130,5,1000
16,79,131,7,1000
16,79,132,8,1000
16,79,133,7,1000
16,79,134,9,1000
16,79,135,7,1000
16,79,136,10,1000
16,79,137,9,1000
16,79,138,0,1000
16,79,139,6,1000
16,79,140,0,1000
16,79,141,7,1000
16,79,142,10,1000
16,79,143,5,1000
16,79,144,7,1000
16,79,145,10,1000
16,79,146,4,1000
16,79,147,9,1000
16,79,148,11,1000
16,79,149,1,1000
16,79,150,9,1000
16,79,151,0,1000
16,79,152,11,1000
16,79,153,3,1000
16,79,154,0,1000
16,79,155,6,1000
16,79,156,5,1000
16,79,157,5,1000
16,79,158,0,1000
16,79,159,11,1000
16,79,160,11,1000
16,79,161,4,1000
16,79,162,3,1000
16,79,163,6,1000
16,79,164,6,1000
16,79,165,7,1000
16,79,166,0,1000
16,79,167,10,1000
16,79,168,0,1000
16,79,169,4,1000
16,79,170,5,1000
16,79,171,4,1000
16,79,172,10,1000
16,79,173,4,1000
16,79,174,4,1000
16,79,175,6,1000
16,79,176,5,1000
16,79,177,8,1000
16,79,178,0,1000
16,79,179,5,1000
16,79,180,5,1000
16,79,181,0,1000
16,79,182,0,1000
16,79,183,3,1000
16,79,184,8,1000
16,79,185,14,1000
16,79,186,7,1000
16,79,187,4,1000
16,79,188,9,1000
16,79,189,10,1000
16,79,190,9,1000
16,79,191,6,1000
16,79,192,0,1000
16,79,193,0,1000
16,79,194,6,1000
16,79,195,2,1000
16,79,196,9,1000
16,79,197,5,1000
16,79,198,4,1000
16,79,199,7,1000
16,79,200,11,1000
16,79,201,0,1000
16,79,202,2,1000
16,79,203,8,1000
16,79,204,4,1000
16,79,205,7,1000
16,79,206,5,1000
16,79,207,6,1000
16,79,208,8,1000
16,79,209,10,1000
16,79,210,8,1000
16,79,211,4,1000
16,79,212,13,1000
16,79,213,0,1000
16,79,214,8,1000
16,79,215,7,1000
16,79,216,0,1000
16,79,217,11,1000
16,79,218,7,1000
16,79,219,3,1000
16,79,220,5,1000
16,79,221,7,1000
16,79,222,7,1000
16,79,223,6,1000
16,79,224,3,1000
16,79,225,4,1000
16,79,226,8,1000
16,79,227,5,1000
16,79,228,8,1000
16,79,229,6,1000
16,79,230,3,1000
16,79,231,9,1000
16,79,232,9,1000
16,79,233,8,1000
16,79,234,0,1000
16,79,235,0,1000
16,79,236,5,1000
16,79,237,8,1000
16,79,238,2,1000
16,79,239,10,1000
16,79,240,5,1000
16,79,241,9,1000
16,79,242,0,1000
16,79,243,2,1000
16,79,244,4,1000
16,79,245,0,1000
16,79,246,1,1000
16,79,247,8,1000
16,79,248,7,1000
16,79,249,12,1000
16,79,250,5,1000
16,79,251,3,1000
16,79,252,5,1000
16,79,253,7,1000
16,79,254,2,1000
16,79,255,7,1000
16,79,256,5,1000
16,79,257,2,1000
16,79,258,4,1000
16,79,259,6,1000
16,79,260,11,1000
16,79,261,3,1000
16,79,262,8,1000
16,79,263,7,1000
16,79,264,4,1000
16,79,265,9,1000
16,79,266,4,1000
16,79,267,9,1000
16,79,268,10,1000
16,79,269,6,1000
16,79,270,6,1000
16,79,271,9,1000
16,79,272,2,1000
16,79,273,9,1000
16,79,274,8,1000
16,79,275,6,1000
16,79,276,3,1000
16,79,277,9,1000
16,79,278,9,1000
16,79,279,0,1000
16,79,280,11,1000
16,79,281,7,1000
16,79,282,9,1000
16,79,283,8,1000
16,79,284,3,1000
16,79,285,6,1000
16,79,286,6,1000
16,79,287,9,1000
16,79,288,4,1000
16,79,289,10,1000
16,79,290,0,1000
16,79,291,2,1000
16,79,292,11,1000
16,79,293,8,1000
16,79,294,0,1000
16,79,295,4,1000
16,79,296,5,1000
16,79,297,11,1000
16,79,298,6,1000
16,79,299,2,1000
16,79,300,7,1000
16,79,301,4,1000
16,79,302,7,1000
16,79,303,7,1000
16,79,304,6,1000
16,79,305,6,1000
16,79,306,3,1000
16,79,307,0,1000
16,79,308,6,1000
16,79,309,7,1000
16,79,310,8,1000
16,79,311,6,1000
16,79,312,0,1000
16,79,313,10,1000
16,79,314,4,1000
16,79,315,7,1000
16,79,316,6,1000
16,79,317,4,1000
16,79,318,10,1000
16,79,319,0,1000
16,79,320,0,1000
16,79,321,9,1000
16,79,322,6,1000
16,79,323,4,1000
16,79,324,0,1000
16,79,325,8,1000
16,79,326,7,1000
16,79,327,12,1000
16,79,328,4,1000
16,79,329,10,1000
16,79,330,5,1000
16,79,331,8,1000
16,79,332,7,1000
16,79,333,8,1000
16,79,334,6,1000
16,79,335,5,1000
