N,M,id,E,time(s)
16,79,1,1,0.028293
16,79,2,1,0.028652
16,79,3,2,0.028445
16,79,4,3,0.030563
16,79,5,2,0.028888
16,79,6,1,0.028341
16,79,7,2,0.028608
16,79,8,2,0.028985
16,79,9,3,0.027962
16,79,10,2,0.02855
16,79,11,1,0.028494
16,79,12,3,0.029225
16,79,13,2,0.028186
16,79,14,2,0.028176
16,79,15,0,0.011934
16,79,16,1,0.028047
16,79,17,2,0.028943
16,79,18,2,0.028419
16,79,19,3,0.028599
16,79,20,2,0.028852
16,79,21,2,0.029333
16,79,22,1,0.027366
16,79,23,2,0.028572
16,79,24,1,0.027489
16,79,25,1,0.026541
16,79,26,2,0.029103
16,79,27,2,0.028495
16,79,28,1,0.028067
16,79,29,2,0.027401
16,79,30,2,0.027778
16,79,31,2,0.027514
16,79,32,1,0.027784
16,79,33,2,0.028037
16,79,34,1,0.027557
16,79,35,2,0.029046
16,79,36,2,0.027978
16,79,37,2,0.028629
16,79,38,2,0.029056
16,79,39,2,0.027472
16,79,40,2,0.027862
16,79,41,1,0.027774
16,79,42,2,0.028023
16,79,43,2,0.028875
16,79,44,2,0.027792
16,79,45,1,0.027266
16,79,46,1,0.028407
16,79,47,1,0.027354
16,79,48,2,0.029034
16,79,49,2,0.028621
16,79,50,1,0.028404
16,79,51,2,0.02943
16,79,52,2,0.028082
16,79,53,2,0.028876
16,79,54,2,0.029095
16,79,55,2,0.029077
16,79,56,2,0.028434
16,79,57,2,0.029792
16,79,58,2,0.027946
16,79,59,2,0.02732
16,79,60,3,0.028377
16,79,61,2,0.028547
16,79,62,1,0.027041
16,79,63,1,0.02809
16,79,64,2,0.027865
16,79,65,2,0.028282
16,79,66,2,0.029686
16,79,67,2,0.028061
16,79,68,2,0.02814
16,79,69,2,0.028098
16,79,70,2,0.028018
16,79,71,2,0.028439
16,79,72,2,0.029541
16,79,73,2,0.028765
16,79,74,2,0.028814
16,79,75,2,0.028034
16,79,76,2,0.028731
16,79,77,2,0.030231
16,79,78,3,0.029151
16,79,79,2,0.028512
16,79,80,3,0.029026
16,79,81,2,0.028673
16,79,82,1,0.028163
16,79,83,2,0.028873
16,79,84,2,0.02807
16,79,85,2,0.028574
16,79,86,2,0.027699
16,79,87,3,0.028133
16,79,88,2,0.028609
16,79,89,1,0.028297
16,79,90,2,0.028092
16,79,91,1,0.028043
16,79,92,3,0.028022
16,79,93,2,0.028541
16,79,94,1,0.028222
16,79,95,2,0.028726
16,79,96,2,0.028151
16,79,97,2,0.029928
16,79,98,1,0.027415
16,79,99,3,0.029277
16,79,100,1,0.028426
16,79,101,2,0.028701
16,79,102,2,0.028064
16,79,103,2,0.029534
16,79,104,2,0.029878
16,79,105,2,0.028213
16,79,106,1,0.027417
16,79,107,2,0.028005
16,79,108,1,0.027571
16,79,109,1,0.027954
16,79,110,2,0.028195
16,79,111,2,0.027902
16,79,112,1,0.027833
16,79,113,1,0.027159
16,79,114,1,0.029178
16,79,115,2,0.028437
16,79,116,2,0.028303
16,79,117,2,0.028107
16,79,118,1,0.027785
16,79,119,2,0.028811
16,79,120,2,0.028152
16,79,121,1,0.028026
16,79,122,3,0.028893
16,79,123,2,0.028589
16,79,124,1,0.028391
16,79,125,2,0.028758
16,79,126,3,0.029198
16,79,127,1,0.028816
16,79,128,2,0.028356
16,79,129,1,0.027877
16,79,130,1,0.027971
16,79,131,2,0.027694
16,79,132,2,0.027536
16,79,133,2,0.028795
16,79,134,2,0.027971
16,79,135,2,0.028473
16,79,136,2,0.028419
16,79,137,2,0.027832
16,79,138,2,0.028972
16,79,139,2,0.02864
16,79,140,2,0.028432
16,79,141,2,0.028597
16,79,142,1,0.028512
16,79,143,1,0.027861
16,79,144,2,0.028535
16,79,145,2,0.028069
16,79,146,2,0.028556
16,79,147,2,0.029364
16,79,148,2,0.028457
16,79,149,2,0.029303
16,79,150,3,0.030059
16,79,151,2,0.028682
16,79,152,2,0.027453
16,79,153,1,0.027771
16,79,154,2,0.02876
16,79,155,2,0.02762
16,79,156,1,0.028087
16,79,157,1,0.027664
16,79,158,2,0.029446
16,79,159,2,0.028123
16,79,160,2,0.028854
16,79,161,2,0.029027
16,79,162,1,0.028261
16,79,163,2,0.028119
16,79,164,2,0.028605
16,79,165,2,0.028577
16,79,166,2,0.028385
16,79,167,2,0.028962
16,79,168,3,0.029105
16,79,169,1,0.028339
16,79,170,2,0.028599
16,79,171,2,0.028621
16,79,172,2,0.029711
16,79,173,2,0.029164
16,79,174,2,0.028062
16,79,175,1,0.028799
16,79,176,1,0.027173
16,79,177,2,0.028228
16,79,178,2,0.028027
16,79,179,2,0.028535
16,79,180,2,0.028606
16,79,181,2,0.027883
16,79,182,2,0.028297
16,79,183,2,0.028821
16,79,184,1,0.028375
16,79,185,3,0.02873
16,79,186,2,0.028184
16,79,187,3,0.029874
16,79,188,3,0.028877
16,79,189,2,0.028273
16,79,190,2,0.028462
16,79,191,2,0.028531
16,79,192,2,0.028947
16,79,193,2,0.028492
16,79,194,2,0.02956
16,79,195,1,0.02731
16,79,196,2,0.027867
16,79,197,1,0.028081
16,79,198,1,0.027842
16,79,199,2,0.028049
16,79,200,2,0.028708
16,79,201,2,0.028472
16,79,202,1,0.028012
16,79,203,3,0.027826
16,79,204,2,0.028251
16,79,205,2,0.028445
16,79,206,2,0.028152
16,79,207,3,0.02896
16,79,208,2,0.028957
16,79,209,2,0.028691
16,79,210,2,0.028643
16,79,211,1,0.027428
16,79,212,2,0.028717
16,79,213,2,0.028462
16,79,214,2,0.029278
16,79,215,2,0.028329
16,79,216,2,0.028786
16,79,217,2,0.02912
16,79,218,2,0.028098
16,79,219,1,0.027996
16,79,220,1,0.028092
16,79,221,2,0.027677
16,79,222,1,0.027709
16,79,223,2,0.02866
16,79,224,1,0.027826
16,79,225,1,0.027529
16,79,226,2,0.028252
16,79,227,3,0.028812
