N,M,id,E,maxIter,eta,runtime(s)
16,79,1,2,10000,0.25,0.02373
16,79,2,2,10000,0.25,0.022953
16,79,3,2,10000,0.25,0.031968
16,79,4,4,10000,0.25,0.027256
16,79,5,3,10000,0.25,0.025793
16,79,6,2,10000,0.25,0.023731
16,79,7,3,10000,0.25,0.02534
16,79,8,2,10000,0.25,0.030786
16,79,9,3,10000,0.25,0.024236
16,79,10,2,10000,0.25,0.031353
16,79,11,2,10000,0.25,0.027498
16,79,12,3,10000,0.25,0.028593
16,79,13,2,10000,0.25,0.030662
16,79,14,3,10000,0.25,0.031768
16,79,15,0,10000,0.25,0.000196
16,79,16,2,10000,0.25,0.023231
16,79,17,3,10000,0.25,0.026749
16,79,18,2,10000,0.25,0.025357
16,79,19,3,10000,0.25,0.025623
16,79,20,2,10000,0.25,0.02598
16,79,21,2,10000,0.25,0.024467
16,79,22,2,10000,0.25,0.025368
16,79,23,3,10000,0.25,0.02496
16,79,24,1,10000,0.25,0.026594
16,79,25,1,10000,0.25,0.024454
16,79,26,3,10000,0.25,0.031725
16,79,27,2,10000,0.25,0.032821
16,79,28,1,10000,0.25,0.024676
16,79,29,3,10000,0.25,0.026088
16,79,30,2,10000,0.25,0.027038
16,79,31,3,10000,0.25,0.033618
16,79,32,1,10000,0.25,0.024139
16,79,33,2,10000,0.25,0.026632
16,79,34,2,10000,0.25,0.02675
16,79,35,3,10000,0.25,0.025084
16,79,36,2,10000,0.25,0.025005
16,79,37,2,10000,0.25,0.024461
16,79,38,3,10000,0.25,0.028477
16,79,39,2,10000,0.25,0.026326
16,79,40,2,10000,0.25,0.031659
16,79,41,1,10000,0.25,0.031281
16,79,42,2,10000,0.25,0.02566
16,79,43,3,10000,0.25,0.025387
16,79,44,2,10000,0.25,0.028241
16,79,45,2,10000,0.25,0.026685
16,79,46,2,10000,0.25,0.027449
16,79,47,1,10000,0.25,0.023772
16,79,48,3,10000,0.25,0.025049
16,79,49,3,10000,0.25,0.024244
16,79,50,2,10000,0.25,0.02984
16,79,51,3,10000,0.25,0.025753
16,79,52,3,10000,0.25,0.028808
16,79,53,2,10000,0.25,0.029818
16,79,54,3,10000,0.25,0.025792
16,79,55,2,10000,0.25,0.032044
16,79,56,2,10000,0.25,0.024561
16,79,57,3,10000,0.25,0.024946
16,79,58,2,10000,0.25,0.024582
16,79,59,2,10000,0.25,0.023622
16,79,60,3,10000,0.25,0.025083
16,79,61,3,10000,0.25,0.027154
16,79,62,1,10000,0.25,0.023969
16,79,63,2,10000,0.25,0.025592
16,79,64,3,10000,0.25,0.026563
16,79,65,2,10000,0.25,0.025663
16,79,66,3,10000,0.25,0.024273
16,79,67,3,10000,0.25,0.024492
16,79,68,2,10000,0.25,0.026038
16,79,69,3,10000,0.25,0.025497
16,79,70,3,10000,0.25,0.027971
16,79,71,2,10000,0.25,0.02491
16,79,72,3,10000,0.25,0.027234
16,79,73,2,10000,0.25,0.026252
16,79,74,3,10000,0.25,0.025796
16,79,75,2,10000,0.25,0.024949
16,79,76,2,10000,0.25,0.02791
16,79,77,3,10000,0.25,0.028444
16,79,78,3,10000,0.25,0.026041
16,79,79,2,10000,0.25,0.027692
16,79,80,3,10000,0.25,0.030563
16,79,81,3,10000,0.25,0.030486
16,79,82,2,10000,0.25,0.031061
16,79,83,2,10000,0.25,0.034131
16,79,84,2,10000,0.25,0.031269
16,79,85,3,10000,0.25,0.033236
16,79,86,3,10000,0.25,0.033748
16,79,87,3,10000,0.25,0.031313
16,79,88,2,10000,0.25,0.024579
16,79,89,1,10000,0.25,0.023544
16,79,90,2,10000,0.25,0.024618
16,79,91,2,10000,0.25,0.028325
16,79,92,3,10000,0.25,0.025554
16,79,93,2,10000,0.25,0.026498
16,79,94,1,10000,0.25,0.024583
16,79,95,2,10000,0.25,0.025999
16,79,96,2,10000,0.25,0.025268
16,79,97,2,10000,0.25,0.02607
16,79,98,2,10000,0.25,0.024354
16,79,99,3,10000,0.25,0.025782
16,79,100,2,10000,0.25,0.031739
16,79,101,3,10000,0.25,0.033034
16,79,102,2,10000,0.25,0.032686
16,79,103,3,10000,0.25,0.032628
16,79,104,3,10000,0.25,0.03369
16,79,105,2,10000,0.25,0.032617
16,79,106,1,10000,0.25,0.030886
16,79,107,2,10000,0.25,0.029694
16,79,108,2,10000,0.25,0.025034
16,79,109,2,10000,0.25,0.029404
16,79,110,2,10000,0.25,0.026341
16,79,111,2,10000,0.25,0.034712
16,79,112,1,10000,0.25,0.027683
16,79,113,1,10000,0.25,0.030399
16,79,114,2,10000,0.25,0.026008
16,79,115,2,10000,0.25,0.031396
16,79,116,2,10000,0.25,0.033963
16,79,117,2,10000,0.25,0.032222
16,79,118,1,10000,0.25,0.031608
16,79,119,2,10000,0.25,0.027311
16,79,120,2,10000,0.25,0.030411
16,79,121,2,10000,0.25,0.031688
16,79,122,3,10000,0.25,0.031957
16,79,123,3,10000,0.25,0.027462
16,79,124,2,10000,0.25,0.028029
16,79,125,3,10000,0.25,0.028892
16,79,126,3,10000,0.25,0.030488
16,79,127,1,10000,0.25,0.029439
16,79,128,2,10000,0.25,0.026576
16,79,129,1,10000,0.25,0.02618
16,79,130,2,10000,0.25,0.029792
16,79,131,2,10000,0.25,0.029813
16,79,132,2,10000,0.25,0.034763
16,79,133,2,10000,0.25,0.033172
16,79,134,2,10000,0.25,0.03234
16,79,135,3,10000,0.25,0.03288
16,79,136,3,10000,0.25,0.028887
16,79,137,2,10000,0.25,0.028496
16,79,138,3,10000,0.25,0.033585
16,79,139,2,10000,0.25,0.030889
16,79,140,2,10000,0.25,0.029745
16,79,141,2,10000,0.25,0.030577
16,79,142,2,10000,0.25,0.025737
16,79,143,2,10000,0.25,0.026421
16,79,144,2,10000,0.25,0.025883
16,79,145,3,10000,0.25,0.027986
16,79,146,2,10000,0.25,0.026196
16,79,147,2,10000,0.25,0.030283
16,79,148,2,10000,0.25,0.025822
16,79,149,2,10000,0.25,0.024944
