N,M,id,E,ntrials
16,79,1,2,5
16,79,2,2,5
16,79,3,2,5
16,79,4,4,5
16,79,5,3,5
16,79,6,2,5
16,79,7,3,5
16,79,8,2,5
16,79,9,3,5
16,79,10,2,5
16,79,11,2,5
16,79,12,3,5
16,79,13,2,5
16,79,14,3,5
16,79,15,0,5
16,79,16,2,5
16,79,17,3,5
16,79,18,2,5
16,79,19,3,5
16,79,20,2,5
16,79,21,2,5
16,79,22,2,5
16,79,23,3,5
16,79,24,1,5
16,79,25,1,5
16,79,26,3,5
16,79,27,2,5
16,79,28,1,5
16,79,29,3,5
16,79,30,2,5
16,79,31,3,5
16,79,32,1,5
16,79,33,2,5
16,79,34,2,5
16,79,35,3,5
16,79,36,2,5
16,79,37,2,5
16,79,38,3,5
16,79,39,2,5
16,79,40,2,5
16,79,41,1,5
16,79,42,2,5
16,79,43,3,5
16,79,44,2,5
16,79,45,2,5
16,79,46,2,5
16,79,47,1,5
16,79,48,3,5
16,79,49,3,5
16,79,50,2,5
16,79,51,3,5
16,79,52,3,5
16,79,53,2,5
16,79,54,3,5
16,79,55,2,5
16,79,56,2,5
16,79,57,3,5
16,79,58,2,5
16,79,59,2,5
16,79,60,3,5
16,79,61,3,5
16,79,62,1,5
16,79,63,2,5
16,79,64,3,5
16,79,65,2,5
16,79,66,3,5
16,79,67,3,5
16,79,68,2,5
16,79,69,3,5
16,79,70,3,5
16,79,71,2,5
16,79,72,3,5
16,79,73,3,5
16,79,74,3,5
16,79,75,2,5
16,79,76,2,5
16,79,77,4,5
16,79,78,3,5
16,79,79,2,5
16,79,80,3,5
16,79,81,3,5
16,79,82,2,5
16,79,83,2,5
16,79,84,2,5
16,79,85,3,5
16,79,86,3,5
16,79,87,3,5
16,79,88,2,5
16,79,89,1,5
16,79,90,2,5
16,79,91,2,5
16,79,92,3,5
16,79,93,2,5
16,79,94,1,5
16,79,95,2,5
16,79,96,2,5
16,79,97,2,5
16,79,98,2,5
16,79,99,3,5
16,79,100,2,5
16,79,101,3,5
16,79,102,2,5
16,79,103,3,5
16,79,104,3,5
16,79,105,2,5
16,79,106,1,5
16,79,107,2,5
16,79,108,2,5
16,79,109,2,5
16,79,110,2,5
16,79,111,2,5
16,79,112,1,5
16,79,113,1,5
16,79,114,2,5
16,79,115,2,5
16,79,116,3,5
16,79,117,2,5
16,79,118,1,5
16,79,119,2,5
16,79,120,2,5
16,79,121,2,5
16,79,122,3,5
16,79,123,3,5
16,79,124,2,5
16,79,125,3,5
16,79,126,3,5
16,79,127,1,5
16,79,128,2,5
16,79,129,1,5
16,79,130,2,5
16,79,131,2,5
16,79,132,2,5
16,79,133,2,5
16,79,134,2,5
16,79,135,3,5
16,79,136,3,5
16,79,137,3,5
16,79,138,3,5
16,79,139,2,5
16,79,140,2,5
16,79,141,2,5
16,79,142,2,5
16,79,143,2,5
16,79,144,2,5
16,79,145,3,5
16,79,146,2,5
16,79,147,2,5
16,79,148,2,5
16,79,149,3,5
16,79,150,3,5
16,79,151,3,5
16,79,152,2,5
16,79,153,2,5
16,79,154,3,5
16,79,155,2,5
16,79,156,1,5
16,79,157,2,5
16,79,158,3,5
16,79,159,3,5
16,79,160,3,5
16,79,161,2,5
16,79,162,1,5
16,79,163,3,5
16,79,164,2,5
16,79,165,3,5
16,79,166,2,5
16,79,167,2,5
16,79,168,3,5
16,79,169,1,5
16,79,170,2,5
16,79,171,2,5
16,79,172,3,5
16,79,173,2,5
16,79,174,2,5
16,79,175,2,5
16,79,176,1,5
16,79,177,3,5
16,79,178,3,5
16,79,179,3,5
16,79,180,2,5
16,79,181,2,5
16,79,182,2,5
16,79,183,3,5
16,79,184,2,5
16,79,185,3,5
16,79,186,2,5
16,79,187,3,5
16,79,188,3,5
16,79,189,2,5
16,79,190,3,5
16,79,191,3,5
16,79,192,3,5
16,79,193,2,5
16,79,194,2,5
16,79,195,1,5
16,79,196,3,5
16,79,197,2,5
16,79,198,1,5
16,79,199,2,5
16,79,200,2,5
16,79,201,3,5
16,79,202,2,5
16,79,203,3,5
16,79,204,3,5
16,79,205,2,5
16,79,206,2,5
16,79,207,3,5
16,79,208,2,5
16,79,209,3,5
16,79,210,3,5
16,79,211,1,5
16,79,212,2,5
16,79,213,2,5
16,79,214,2,5
16,79,215,2,5
16,79,216,2,5
16,79,217,3,5
16,79,218,3,5
16,79,219,1,5
16,79,220,2,5
16,79,221,2,5
16,79,222,1,5
16,79,223,3,5
16,79,224,1,5
16,79,225,1,5
16,79,226,3,5
16,79,227,3,5
16,79,228,2,5
16,79,229,2,5
16,79,230,2,5
16,79,231,2,5
16,79,232,3,5
16,79,233,3,5
16,79,234,2,5
16,79,235,3,5
16,79,236,2,5
16,79,237,2,5
16,79,238,1,5
16,79,239,3,5
16,79,240,2,5
16,79,241,2,5
16,79,242,0,5
16,79,243,2,5
16,79,244,2,5
16,79,245,2,5
16,79,246,2,5
16,79,247,2,5
16,79,248,2,5
16,79,249,4,5
16,79,250,3,5
16,79,251,1,5
16,79,252,2,5
16,79,253,3,5
16,79,254,2,5
16,79,255,2,5
16,79,256,1,5
16,79,257,1,5
16,79,258,1,5
16,79,259,3,5
16,79,260,3,5
16,79,261,1,5
16,79,262,3,5
16,79,263,3,5
16,79,264,1,5
16,79,265,3,5
16,79,266,3,5
16,79,267,4,5
16,79,268,3,5
16,79,269,2,5
16,79,270,2,5
16,79,271,3,5
16,79,272,1,5
16,79,273,3,5
16,79,274,3,5
16,79,275,2,5
16,79,276,2,5
16,79,277,3,5
16,79,278,3,5
16,79,279,2,5
16,79,280,3,5
16,79,281,2,5
16,79,282,3,5
16,79,283,2,5
16,79,284,2,5
16,79,285,2,5
16,79,286,2,5
16,79,287,2,5
16,79,288,2,5
16,79,289,2,5
16,79,290,3,5
16,79,291,1,5
16,79,292,2,5
16,79,293,2,5
16,79,294,2,5
16,79,295,2,5
16,79,296,3,5
16,79,297,3,5
16,79,298,2,5
16,79,299,2,5
16,79,300,2,5
16,79,301,2,5
16,79,302,2,5
16,79,303,1,5
16,79,304,2,5
16,79,305,2,5
16,79,306,1,5
16,79,307,4,5
16,79,308,3,5
16,79,309,2,5
16,79,310,4,5
16,79,311,2,5
16,79,312,2,5
16,79,313,2,5
16,79,314,2,5
16,79,315,1,5
16,79,316,1,5
16,79,317,2,5
16,79,318,3,5
16,79,319,2,5
16,79,320,2,5
16,79,321,3,5
16,79,322,3,5
16,79,323,1,5
16,79,324,3,5
16,79,325,3,5
16,79,326,2,5
16,79,327,2,5
16,79,328,1,5
16,79,329,3,5
16,79,330,2,5
16,79,331,2,5
16,79,332,2,5
16,79,333,2,5
16,79,334,3,5
16,79,335,2,5
16,79,336,2,5
16,79,337,4,5
16,79,338,2,5
16,79,339,2,5
16,79,340,3,5
16,79,341,2,5
16,79,342,2,5
16,79,343,2,5
16,79,344,2,5
16,79,345,2,5
16,79,346,3,5
16,79,347,2,5
16,79,348,3,5
16,79,349,3,5
16,79,350,3,5
16,79,351,1,5
16,79,352,2,5
16,79,353,1,5
16,79,354,3,5
16,79,355,3,5
16,79,356,3,5
16,79,357,2,5
16,79,358,2,5
16,79,359,3,5
16,79,360,2,5
16,79,361,1,5
16,79,362,2,5
16,79,363,2,5
16,79,364,2,5
16,79,365,2,5
16,79,366,2,5
16,79,367,3,5
16,79,368,1,5
16,79,369,3,5
16,79,370,2,5
16,79,371,1,5
16,79,372,3,5
16,79,373,1,5
16,79,374,3,5
16,79,375,3,5
16,79,376,4,5
16,79,377,2,5
16,79,378,2,5
16,79,379,3,5
16,79,380,1,5
16,79,381,3,5
16,79,382,2,5
16,79,383,2,5
16,79,384,2,5
16,79,385,3,5
16,79,386,3,5
16,79,387,1,5
16,79,388,2,5
16,79,389,2,5
16,79,390,2,5
16,79,391,3,5
16,79,392,2,5
16,79,393,2,5
16,79,394,2,5
16,79,395,2,5
16,79,396,3,5
16,79,397,3,5
16,79,398,3,5
16,79,399,2,5
16,79,400,3,5
16,82,1,3,5
16,82,2,3,5
16,82,3,3,5
16,82,4,4,5
16,82,5,3,5
16,82,6,2,5
16,82,7,3,5
16,82,8,2,5
16,82,9,3,5
16,82,10,2,5
16,82,11,3,5
16,82,12,3,5
16,82,13,3,5
16,82,14,2,5
16,82,15,2,5
16,82,16,4,5
16,82,17,4,5
16,82,18,2,5
16,82,19,3,5
16,82,20,3,5
16,82,21,1,5
16,82,22,3,5
16,82,23,2,5
16,82,24,2,5
16,82,25,2,5
16,82,26,3,5
16,82,27,3,5
16,82,28,2,5
16,82,29,3,5
16,82,30,2,5
16,82,31,2,5
16,82,32,2,5
16,82,33,2,5
16,82,34,2,5
16,82,35,3,5
16,82,36,2,5
16,82,37,3,5
16,82,38,3,5
16,82,39,3,5
16,82,40,2,5
16,82,41,2,5
16,82,42,3,5
16,82,43,2,5
16,82,44,2,5
16,82,45,3,5
16,82,46,4,5
16,82,47,4,5
16,82,48,4,5
16,82,49,3,5
16,82,50,3,5
16,82,51,4,5
16,82,52,2,5
16,82,53,2,5
16,82,54,3,5
16,82,55,3,5
16,82,56,2,5
16,82,57,3,5
16,82,58,2,5
16,82,59,3,5
16,82,60,3,5
16,82,61,4,5
16,82,62,2,5
16,82,63,3,5
16,82,64,3,5
16,82,65,3,5
16,82,66,3,5
16,82,67,4,5
16,82,68,4,5
16,82,69,3,5
16,82,70,2,5
16,82,71,2,5
16,82,72,2,5
16,82,73,3,5
16,82,74,1,5
16,82,75,3,5
16,82,76,3,5
16,82,77,3,5
16,82,78,2,5
16,82,79,4,5
16,82,80,3,5
16,82,81,3,5
16,82,82,4,5
16,82,83,3,5
16,82,84,2,5
16,82,85,2,5
16,82,86,3,5
16,82,87,3,5
16,82,88,3,5
16,82,89,2,5
16,82,90,2,5
16,82,91,3,5
16,82,92,4,5
16,82,93,3,5
16,82,94,3,5
16,82,95,3,5
16,82,96,2,5
16,82,97,3,5
16,82,98,3,5
16,82,99,3,5
16,82,100,3,5
16,82,101,2,5
16,82,102,3,5
16,82,103,2,5
16,82,104,2,5
16,82,105,3,5
16,82,106,2,5
16,82,107,3,5
16,82,108,2,5
16,82,109,2,5
16,82,110,2,5
16,82,111,2,5
16,82,112,2,5
16,82,113,3,5
16,82,114,1,5
16,82,115,3,5
16,82,116,4,5
16,82,117,2,5
16,82,118,2,5
16,82,119,2,5
16,82,120,3,5
16,82,121,2,5
16,82,122,3,5
16,82,123,3,5
16,82,124,2,5
16,82,125,2,5
16,82,126,3,5
16,82,127,2,5
16,82,128,2,5
16,82,129,4,5
16,82,130,4,5
16,82,131,3,5
16,82,132,3,5
16,82,133,4,5
16,82,134,3,5
16,82,135,3,5
16,82,136,4,5
16,82,137,3,5
16,82,138,1,5
16,82,139,3,5
16,82,140,2,5
16,82,141,3,5
16,82,142,2,5
16,82,143,3,5
16,82,144,3,5
16,82,145,3,5
16,82,146,2,5
16,82,147,1,5
16,82,148,3,5
16,82,149,3,5
16,82,150,3,5
16,82,151,3,5
16,82,152,4,5
16,82,153,3,5
16,82,154,2,5
16,82,155,3,5
16,82,156,3,5
16,82,157,3,5
16,82,158,4,5
16,82,159,3,5
16,82,160,3,5
16,82,161,3,5
16,82,162,3,5
16,82,163,3,5
16,82,164,2,5
16,82,165,1,5
16,82,166,3,5
16,82,167,2,5
16,82,168,1,5
16,82,169,3,5
16,82,170,3,5
16,82,171,3,5
16,82,172,3,5
16,82,173,4,5
16,82,174,3,5
16,82,175,3,5
16,82,176,3,5
16,82,177,2,5
16,82,178,3,5
16,82,179,2,5
16,82,180,2,5
16,82,181,4,5
16,82,182,3,5
16,82,183,3,5
16,82,184,2,5
16,82,185,4,5
16,82,186,2,5
16,82,187,4,5
16,82,188,3,5
16,82,189,3,5
16,82,190,3,5
16,82,191,2,5
16,82,192,2,5
16,82,193,1,5
16,82,194,2,5
16,82,195,2,5
16,82,196,2,5
16,82,197,2,5
16,82,198,1,5
16,82,199,3,5
16,82,200,3,5
16,82,201,2,5
16,82,202,2,5
16,82,203,2,5
16,82,204,3,5
16,82,205,2,5
16,82,206,3,5
16,82,207,4,5
16,82,208,2,5
16,82,209,4,5
16,82,210,3,5
16,82,211,1,5
16,82,212,4,5
16,82,213,3,5
16,82,214,3,5
16,82,215,1,5
16,82,216,2,5
16,82,217,3,5
16,82,218,4,5
16,82,219,2,5
16,82,220,2,5
16,82,221,3,5
16,82,222,3,5
16,82,223,3,5
16,82,224,3,5
16,82,225,4,5
16,82,226,3,5
16,82,227,2,5
16,82,228,4,5
16,82,229,3,5
16,82,230,2,5
16,82,231,2,5
16,82,232,2,5
16,82,233,4,5
16,82,234,3,5
16,82,235,2,5
16,82,236,3,5
16,82,237,4,5
16,82,238,2,5
16,82,239,2,5
16,82,240,3,5
16,82,241,4,5
16,82,242,3,5
16,82,243,2,5
16,82,244,4,5
16,82,245,4,5
16,82,246,1,5
16,82,247,2,5
16,82,248,2,5
16,82,249,3,5
16,82,250,4,5
16,82,251,3,5
16,82,252,2,5
16,82,253,2,5
16,82,254,3,5
16,82,255,2,5
16,82,256,3,5
16,82,257,3,5
16,82,258,2,5
16,82,259,3,5
16,82,260,2,5
16,82,261,1,5
16,82,262,3,5
16,82,263,3,5
16,82,264,4,5
16,82,265,2,5
16,82,266,4,5
16,82,267,3,5
16,82,268,2,5
16,82,269,1,5
16,82,270,2,5
16,82,271,2,5
