algo,N,M,count,E_mean,E_err,ProbSolv,ProbSolv_err
FMS_nsteps=1000N^2,16,48,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,16,50,400,0.005,0.003531100632833621,0.995,0.003531100632833621
FMS_nsteps=1000N^2,16,51,400,0.01,0.004981167541368988,0.99,0.004981167541368988
FMS_nsteps=1000N^2,16,53,400,0.0025,0.0025,0.9975,0.0024999999999999996
FMS_nsteps=1000N^2,16,54,400,0.0125,0.005562078459710898,0.9875,0.005562078459710897
FMS_nsteps=1000N^2,16,56,400,0.0475,0.010648608225625408,0.9525,0.010648608225625408
FMS_nsteps=1000N^2,16,58,400,0.03,0.008540042788362812,0.97,0.008540042788362812
FMS_nsteps=1000N^2,16,59,400,0.0725,0.012981937519276001,0.9275,0.012981937519276001
FMS_nsteps=1000N^2,16,61,400,0.07,0.012773327473170101,0.93,0.012773327473170101
FMS_nsteps=1000N^2,16,62,400,0.105,0.01534686664402456,0.895,0.01534686664402456
FMS_nsteps=1000N^2,16,64,400,0.16,0.01835325870964494,0.84,0.018353258709644944
FMS_nsteps=1000N^2,16,66,400,0.2325,0.02114775268460038,0.7675,0.02114775268460038
FMS_nsteps=1000N^2,16,67,400,0.2625,0.02202719610892527,0.7375,0.02202719610892527
FMS_nsteps=1000N^2,16,69,400,0.2625,0.022864631057234637,0.745,0.02182035333235629
FMS_nsteps=1000N^2,16,70,400,0.3625,0.024834981694969567,0.645,0.023955629410456487
FMS_nsteps=1000N^2,16,72,400,0.44,0.02583929513226572,0.57,0.0247847879612821
FMS_nsteps=1000N^2,16,74,400,0.4675,0.027600068558993707,0.56,0.024850429767895824
FMS_nsteps=1000N^2,16,75,400,0.5025,0.026490351485107012,0.5125,0.0250234852095002
FMS_nsteps=1000N^2,16,77,400,0.605,0.030409692096987496,0.46,0.024951079956135037
FMS_nsteps=1000N^2,16,78,400,0.635,0.028617913313273124,0.4125,0.024645036407943733
FMS_nsteps=1000N^2,16,80,400,0.7225,0.030058162082359986,0.3575,0.02399319817984345
FMS_nsteps=1000N^2,32,96,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,32,99,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,32,102,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,32,106,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,32,109,400,0.0025,0.0025,0.9975,0.0025
FMS_nsteps=1000N^2,32,112,400,0.0075,0.0043192609365022136,0.9925,0.0043192609365022136
FMS_nsteps=1000N^2,32,115,400,0.0075,0.0043192609365022136,0.9925,0.0043192609365022136
FMS_nsteps=1000N^2,32,118,400,0.035,0.009200495791370025,0.965,0.009200495791370025
FMS_nsteps=1000N^2,32,122,400,0.07,0.012773327473170101,0.93,0.012773327473170101
FMS_nsteps=1000N^2,32,125,400,0.1275,0.016697496548208766,0.8725,0.016697496548208766
FMS_nsteps=1000N^2,32,128,400,0.1925,0.020362858099366537,0.8125,0.0195400591036577
FMS_nsteps=1000N^2,32,131,400,0.2125,0.021082470239002973,0.7925,0.020301224699775553
FMS_nsteps=1000N^2,32,134,400,0.31,0.02342267179219125,0.6925,0.023101809648219257
FMS_nsteps=1000N^2,32,138,400,0.43,0.026257830912139835,0.585,0.0246669545468536
FMS_nsteps=1000N^2,32,141,400,0.4975,0.027873404738734793,0.5325,0.02497837410505998
FMS_nsteps=1000N^2,32,144,400,0.55,0.028649642319102893,0.49,0.0250263019536184
FMS_nsteps=1000N^2,32,147,400,0.69,0.029991644617579204,0.3825,0.024330316186072995
FMS_nsteps=1000N^2,32,150,400,0.8875,0.032049607147291825,0.2675,0.02216048493900414
FMS_nsteps=1000N^2,32,154,400,0.945,0.031937242659185204,0.23,0.021067976863543565
FMS_nsteps=1000N^2,32,157,400,1.025,0.03337247075826538,0.2075,0.02030122469977555
FMS_nsteps=1000N^2,32,160,400,1.2525,0.03553189643349199,0.1325,0.016972907056094933
FMS_nsteps=1000N^2,64,192,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,198,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,205,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,211,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,218,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,224,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,64,230,400,0.0025,0.0025,0.9975,0.0025
FMS_nsteps=1000N^2,64,237,400,0.0025,0.0025,0.9975,0.0024999999999999996
FMS_nsteps=1000N^2,64,243,400,0.015,0.006085234193354429,0.985,0.006085234193354429
FMS_nsteps=1000N^2,64,250,400,0.05,0.010910894511799617,0.95,0.010910894511799617
FMS_nsteps=1000N^2,64,256,400,0.1,0.015018785229652767,0.9,0.015018785229652765
FMS_nsteps=1000N^2,64,262,400,0.1925,0.020362858099366537,0.8125,0.0195400591036577
FMS_nsteps=1000N^2,64,269,400,0.32,0.024402637599335676,0.69,0.023153622298981852
FMS_nsteps=1000N^2,64,275,400,0.5075,0.028317203871281494,0.5275,0.02499342018675273
FMS_nsteps=1000N^2,64,282,400,0.715,0.03101357936877261,0.3675,0.024136399679191678
FMS_nsteps=1000N^2,64,288,400,0.9,0.03185965464321549,0.25,0.021677749238103
FMS_nsteps=1000N^2,64,294,400,1.1,0.0361006668271295,0.2025,0.02011830610666573
FMS_nsteps=1000N^2,64,301,400,1.2925,0.036684106697731186,0.13,0.0168362301782953
FMS_nsteps=1000N^2,64,307,400,1.4775,0.04050105199908493,0.1,0.015018785229652767
FMS_nsteps=1000N^2,64,314,400,1.8525,0.04190763653560052,0.045,0.01037818707276436
FMS_nsteps=1000N^2,64,320,400,2.085,0.04181876999398146,0.015,0.006085234193354429
FMS_nsteps=1000N^2,128,384,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,397,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,410,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,422,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,435,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,448,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,461,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,474,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,486,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,128,499,400,0.01,0.004981167541368988,0.99,0.004981167541368988
FMS_nsteps=1000N^2,128,512,400,0.0425,0.01009897759037653,0.9575,0.01009897759037653
FMS_nsteps=1000N^2,128,525,400,0.1375,0.017952439952569864,0.8675,0.01697290705609493
FMS_nsteps=1000N^2,128,538,400,0.345,0.02457534065727376,0.6625,0.02367245949084853
FMS_nsteps=1000N^2,128,550,400,0.645,0.031222983309043228,0.4325,0.024802162065186362
FMS_nsteps=1000N^2,128,563,400,0.9825,0.03669264572944511,0.265,0.02209429552479196
FMS_nsteps=1000N^2,128,576,400,1.3675,0.03949695429392298,0.1125,0.015818816719527888
FMS_nsteps=1000N^2,128,589,400,1.7425,0.04024342440722521,0.0525,0.011165619222935151
FMS_nsteps=1000N^2,128,602,400,2.205,0.04637147057413664,0.0225,0.007424431321732853
FMS_nsteps=1000N^2,128,614,400,2.7125,0.0484042022140635,0.0075,0.004319260936502214
FMS_nsteps=1000N^2,128,627,400,3.1025,0.05314645556712481,0.005,0.003531100632833622
FMS_nsteps=1000N^2,128,640,400,3.505,0.05438134631532828,0.0025,0.0025
FMS_nsteps=1000N^2,256,768,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,794,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,819,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,845,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,870,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,896,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,922,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,947,400,0.0,0.0,1.0,0.0
FMS_nsteps=1000N^2,256,973,400,0.0,0.0,1.0,0.0
