N,M,id,E,solved
16,79,1,2,0
16,79,2,2,0
16,79,3,2,0
16,79,4,4,0
16,79,5,3,0
16,79,6,2,0
16,79,7,3,0
16,79,8,2,0
16,79,9,3,0
16,79,10,2,0
16,79,11,2,0
16,79,12,3,0
16,79,13,2,0
16,79,14,3,0
16,79,15,0,1
16,79,16,2,0
16,79,17,3,0
16,79,18,2,0
16,79,19,3,0
16,79,20,2,0
16,79,21,2,0
16,79,22,2,0
16,79,23,3,0
16,79,24,1,0
16,79,25,1,0
16,79,26,3,0
16,79,27,2,0
16,79,28,1,0
16,79,29,3,0
16,79,30,2,0
16,79,31,3,0
16,79,32,1,0
16,79,33,2,0
16,79,34,2,0
16,79,35,3,0
16,79,36,2,0
16,79,37,2,0
16,79,38,3,0
16,79,39,2,0
16,79,40,2,0
16,79,41,1,0
16,79,42,2,0
16,79,43,3,0
16,79,44,2,0
16,79,45,2,0
16,79,46,2,0
16,79,47,1,0
16,79,48,3,0
16,79,49,3,0
16,79,50,2,0
16,79,51,3,0
16,79,52,3,0
16,79,53,2,0
16,79,54,3,0
16,79,55,2,0
16,79,56,2,0
16,79,57,3,0
16,79,58,2,0
16,79,59,2,0
16,79,60,3,0
16,79,61,3,0
16,79,62,1,0
16,79,63,2,0
16,79,64,3,0
16,79,65,2,0
16,79,66,3,0
16,79,67,3,0
16,79,68,2,0
16,79,69,3,0
16,79,70,3,0
16,79,71,2,0
16,79,72,3,0
16,79,73,2,0
16,79,74,3,0
16,79,75,2,0
16,79,76,2,0
16,79,77,3,0
16,79,78,3,0
16,79,79,2,0
16,79,80,3,0
16,79,81,3,0
16,79,82,2,0
16,79,83,2,0
16,79,84,2,0
16,79,85,3,0
16,79,86,3,0
16,79,87,3,0
16,79,88,2,0
16,79,89,1,0
16,79,90,2,0
16,79,91,2,0
16,79,92,3,0
16,79,93,2,0
16,79,94,1,0
16,79,95,2,0
16,79,96,2,0
16,79,97,2,0
16,79,98,2,0
16,79,99,3,0
16,79,100,2,0
16,79,101,3,0
16,79,102,2,0
16,79,103,3,0
16,79,104,3,0
16,79,105,2,0
16,79,106,1,0
16,79,107,2,0
16,79,108,2,0
16,79,109,2,0
16,79,110,2,0
16,79,111,2,0
16,79,112,1,0
16,79,113,1,0
16,79,114,2,0
16,79,115,2,0
16,79,116,2,0
16,79,117,2,0
16,79,118,1,0
16,79,119,2,0
16,79,120,2,0
16,79,121,2,0
16,79,122,3,0
16,79,123,3,0
16,79,124,2,0
16,79,125,3,0
16,79,126,3,0
16,79,127,1,0
16,79,128,2,0
16,79,129,1,0
16,79,130,2,0
16,79,131,2,0
16,79,132,2,0
16,79,133,2,0
16,79,134,2,0
16,79,135,3,0
16,79,136,3,0
16,79,137,2,0
16,79,138,3,0
16,79,139,2,0
16,79,140,2,0
16,79,141,2,0
16,79,142,2,0
16,79,143,2,0
16,79,144,2,0
16,79,145,3,0
16,79,146,2,0
16,79,147,2,0
16,79,148,2,0
16,79,149,2,0
16,79,150,3,0
16,79,151,3,0
16,79,152,2,0
16,79,153,2,0
16,79,154,3,0
16,79,155,2,0
16,79,156,1,0
16,79,157,2,0
16,79,158,3,0
16,79,159,3,0
16,79,160,2,0
16,79,161,2,0
16,79,162,1,0
16,79,163,3,0
16,79,164,2,0
16,79,165,3,0
16,79,166,2,0
16,79,167,2,0
16,79,168,3,0
16,79,169,1,0
16,79,170,2,0
16,79,171,2,0
16,79,172,3,0
16,79,173,2,0
16,79,174,2,0
16,79,175,2,0
16,79,176,1,0
16,79,177,3,0
16,79,178,3,0
16,79,179,3,0
16,79,180,2,0
16,79,181,2,0
