problem,algo,N=16,N=32,N=64,N=128,N=256,N=512,N=1024,N=2048,N=4096,N=8192,N=16384
3SAT,FMS_nsteps=1000N^2,8400,8400,8400,8400,8400,8400,8400,0,0,0,0
3SAT,FMS_nsteps=100N^2,8400,8400,8400,8400,8400,8400,8400,8400,0,0,0
3SAT,FMS_nsteps=20N^2,0,0,0,0,0,0,0,0,8400,8400,8400
3SAT,NeuroSAT_supervised_niters=2N_Ntrain=256,8400,8400,8400,8400,8400,0,0,0,0,0,0
3SAT,NeuroSAT_supervised_niters=32_Ntrain=256,8400,8400,8400,8400,8400,0,0,0,0,0,0
3SAT,NeuroSAT_supervised_niters=512_Ntrain=256,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
3SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,0
3SAT,NeuroSAT_unsupervised_niters=32_Ntrain=256,8400,8400,8400,8400,8400,0,0,0,0,0,0
3SAT,NeuroSAT_unsupervised_niters=512_Ntrain=256,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
3SAT,QuerySAT_niters=2N_Ntrain=256,8400,8400,8400,8400,8400,0,0,0,0,0,0
3SAT,SimulatedAnnealing_nsteps=1000N^2,8400,8400,8400,8400,8400,0,8400,0,0,0,0
3SAT,SurveyPropagation_frac-decimated=0.00125,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
4SAT,FMS_nsteps=1000N^2,4200,4200,4200,4200,4200,4200,4200,0,0,0,0
4SAT,FMS_nsteps=100N^2,4200,4200,4200,4200,4200,4200,4200,4200,0,0,0
4SAT,FMS_nsteps=20N^2,0,0,0,0,0,0,0,0,4200,4200,4200
4SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,4200,4200,4200,4200,4200,4200,4200,4200,0,0,0
4SAT,QuerySAT_niters=2N_Ntrain=256,4200,4200,4200,4200,4200,0,0,0,0,0,0
4SAT,SimulatedAnnealing_nsteps=10000N^2,4200,4200,4200,4200,4200,0,0,0,0,0,0
4SAT,SimulatedAnnealing_nsteps=1000N^2,4200,4200,4200,4200,4200,0,4200,0,0,0,0
4SAT,SurveyPropagation_frac-decimated=0.00125,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
3COL,BeliefPropagation_frac-decimated=1overN,4000,4000,4000,4000,4000,4000,4000,2669,615,156,0
3COL,BeliefPropagation_reinforcement_gamma=0.99_dt=10,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0
3COL,FMS_nsteps=1000N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
3COL,FMS_nsteps=100N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
3COL,FMScol_eta=0.37_nsteps=20N^2,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
3COL,FMScol_eta=0.37_nsteps=625N^2,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
3COL,SimulatedAnnealing_nsteps=1000N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
3COL,SimulatedAnnealing_nsteps=10N^2,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0
3COL,rPI-GNN_ntrials=5,4000,4000,4000,4000,4000,4000,4000,3200,3288,0,0
5COL,BeliefPropagation_frac-decimated=1overN,4000,4000,4000,4000,4000,4000,4000,496,125,35,0
5COL,BeliefPropagation_reinforcement_gamma=0.99_dt=10,3600,4000,4000,4000,4000,4000,4000,4000,3600,3600,0
5COL,FMS_nsteps=1000N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
5COL,FMS_nsteps=100N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
5COL,FMScol_eta=0.25_nsteps=20N^2,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
5COL,FMScol_eta=0.25_nsteps=625N^2,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
5COL,SimulatedAnnealing_nsteps=1000N^2,4000,4000,4000,4000,4000,4000,4000,0,0,0,0
5COL,rPI-GNN_ntrials=5,4000,4000,4000,4000,4000,4000,4000,2800,2800,0,0
