problem,algo,count,nsat,nsat_best,score,E,E_unsolved
3COL,BeliefPropagation_frac-decimated=1overN,20000,9220,11750,78.47,0.03512348949684792,0.06517626553506758
3COL,FMScol_eta=0.37_nsteps=6250N^2,20000,11750,11750,100.0,0.008086380140262688,0.01960334579457621
3COL,FMScol_eta=0.37_nsteps=625N^2,20000,11745,11750,99.96,0.008088918935437412,0.019597623102210568
3COL,QuerySAT_nsteps=2N,20000,6916,11750,58.86,0.015031982712380876,0.022977656240264255
3COL,SimulatedAnnealing_nsteps=1000N^2,20000,10604,11750,90.25,0.008713548546981564,0.018547357486125085
3COL,rPI-GNN_ntrials=5,20000,10868,11750,92.49,0.008692673880120376,0.019037831537714357
3SAT,FMS_nsteps=1000N^2,42000,28654,28656,99.99,0.001942266186046218,0.006113247887735399
3SAT,FMS_nsteps=100N^2,42000,28651,28656,99.98,0.00194281474027557,0.0061135999918763735
3SAT,NeuroSAT_supervised_niters=2N_Ntrain=256,42000,17072,28656,59.58,0.014063234203623116,0.023696374731291457
3SAT,NeuroSAT_supervised_niters=32_Ntrain=256,42000,8531,28656,29.77,0.01751859839485209,0.02198592997620832
3SAT,NeuroSAT_supervised_niters=512_Ntrain=256,42000,18738,28656,65.39,0.01314541368384193,0.02373940640329196
3SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,42000,24210,28656,84.48,0.00305977565360858,0.007224565856282907
3SAT,NeuroSAT_unsupervised_niters=32_Ntrain=256,42000,21465,28656,74.91,0.003646008604827927,0.0074585924408344904
3SAT,NeuroSAT_unsupervised_niters=512_Ntrain=256,42000,24404,28656,85.16,0.002957952790096771,0.007061158189386403
3SAT,QuerySAT_niters=2N_Ntrain=256,42000,26473,28656,92.38,0.0025150900664657814,0.0068045466884541885
3SAT,SimulatedAnnealing_nsteps=1000N^2,42000,28299,28656,98.75,0.002041546667902512,0.00625829939799325
3SAT,SurveyPropagation_frac-decimated=0.00125,42000,23577,28656,82.28,0.1036895188016004,0.23642561290267192
4SAT,FMS_nsteps=1000N^2,21000,18858,19806,95.21,0.0003271846776409407,0.0032091911398691064
4SAT,FMS_nsteps=100N^2,21000,18846,19806,95.15,0.00032750490423593087,0.0031929447488182675
4SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,21000,9412,19806,47.52,0.0015699337558930998,0.002846292745726936
4SAT,QuerySAT_niters=2N_Ntrain=256,21000,13184,19806,66.57,0.000993535509189939,0.00266976912258333
4SAT,SimulatedAnnealing_nsteps=1000N^2 ,21000,16362,19806,82.61,0.0006000715769983118,0.0027181844514591346
4SAT,SurveyPropagation_frac-decimated=0.00125,21000,11924,19806,60.2,0.027003303340473697,0.06250764662146689
5COL,BeliefPropagation_frac-decimated=1overN,20000,4424,9184,48.17,0.04964841207034231,0.0637539801866354
5COL,FMScol_eta=0.25_nsteps=6250N^2,20000,9184,9184,100.0,0.014215471308502587,0.026286004638503307
5COL,FMScol_eta=0.25_nsteps=625N^2,20000,9007,9184,98.07,0.014234983829459768,0.02589826949778908
5COL,QuerySAT_nsteps=2N,20000,721,9184,7.85,0.026529776264346286,0.027521942283672683
5COL,SimulatedAnnealing_nsteps=1000N^2,20000,7297,9184,79.45,0.014734353022092526,0.023198225650779385
5COL,rPI-GNN_ntrials=5,20000,6724,9184,73.21,0.015351201711393309,0.02312624542240631
