problem,algo,count,nsat,nsat_best,score,E,E_unsolved
3COL,BeliefPropagation_frac-decimated=1overN,20000,9220,11745,78.5,0.03512348949684792,0.04144872940411399
3COL,FMScol_eta=0.37_nsteps=625N^2,20000,11745,11745,100.0,0.008088918935437412,0.002730520560932207
3COL,SimulatedAnnealing_nsteps=1000N^2,20000,10604,11745,90.29,0.008713548546981564,0.003075077172309937
3COL,rPI-GNN_ntrials=5,20000,10868,11745,92.53,0.008692673880120376,0.004559679057286834
3SAT,FMS_nsteps=1000N^2,42000,28654,28656,99.99,0.001942266186046218,0.0026782916415630095
3SAT,FMS_nsteps=100N^2,42000,28651,28656,99.98,0.00194281474027557,0.002806527473920106
3SAT,NeuroSAT_supervised_niters=2N_Ntrain=256,42000,17072,28656,59.58,0.014063234203623116,
3SAT,NeuroSAT_supervised_niters=32_Ntrain=256,42000,8531,28656,29.77,0.01751859839485209,
3SAT,NeuroSAT_supervised_niters=512_Ntrain=256,42000,18738,28656,65.39,0.01314541368384193,0.01293651187272622
3SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,42000,24210,28656,84.48,0.00305977565360858,0.003233823589337995
3SAT,NeuroSAT_unsupervised_niters=32_Ntrain=256,42000,21465,28656,74.91,0.003646008604827927,
3SAT,NeuroSAT_unsupervised_niters=512_Ntrain=256,42000,24404,28656,85.16,0.002957952790096771,0.0032290850375900366
3SAT,QuerySAT_niters=2N_Ntrain=256,42000,26473,28656,92.38,0.0025150900664657814,0.0028026565176572427
3SAT,SimulatedAnnealing_nsteps=1000N^2,42000,28299,28656,98.75,0.002041546667902512,0.002544664826115995
3SAT,SurveyPropagation_frac-decimated=0.00125,42000,23577,28656,82.28,0.1036895188016004,0.3798286421937348
4SAT,FMS_nsteps=1000N^2,21000,18858,19806,95.21,0.0003271846776409407,0.0001882118258980693
4SAT,FMS_nsteps=100N^2,21000,18846,19806,95.15,0.00032750490423593087,0.00020520318562484085
4SAT,NeuroSAT_unsupervised_niters=2N_Ntrain=256,21000,9412,19806,47.52,0.0015699337558930998,0.0008593009725036909
4SAT,QuerySAT_niters=2N_Ntrain=256,21000,13184,19806,66.57,0.000993535509189939,0.0005120477761961091
4SAT,SimulatedAnnealing_nsteps=1000N^2 ,21000,16362,19806,82.61,0.0006000715769983118,0.00046408710433058293
4SAT,SurveyPropagation_frac-decimated=0.00125,21000,11924,19806,60.2,0.027003303340473697,0.08015113933357891
5COL,BeliefPropagation_frac-decimated=1overN,20000,4424,9007,49.12,0.04964841207034231,0.035333425358996896
5COL,FMScol_eta=0.25_nsteps=625N^2,20000,9007,9007,100.0,0.014234983829459768,0.0007135640094114089
5COL,SimulatedAnnealing_nsteps=1000N^2,20000,7297,9007,81.01,0.014734353022092526,0.0010790908202975066
5COL,rPI-GNN_ntrials=5,20000,6724,9007,74.65,0.015351201711393309,0.00198797602186154
