N,M,id,E,maxIter,eta,runtime(s)
16,27,1,1,320,0.37,0.002123
16,27,2,0,320,0.37,0.000329
16,27,3,0,320,0.37,0.000338
16,27,4,0,320,0.37,0.000338
16,27,5,1,320,0.37,0.00219
16,27,6,1,320,0.37,0.002039
16,27,7,0,320,0.37,0.00036
16,27,8,0,320,0.37,0.000343
16,27,9,0,320,0.37,0.000331
16,27,10,1,320,0.37,0.002153
16,27,11,0,320,0.37,0.000341
16,27,12,0,320,0.37,0.000347
16,27,13,0,320,0.37,0.000349
16,27,14,1,320,0.37,0.001998
16,27,15,0,320,0.37,0.000349
16,27,16,0,320,0.37,0.000354
16,27,17,1,320,0.37,0.001836
16,27,18,0,320,0.37,0.000348
16,27,19,0,320,0.37,0.000379
16,27,20,0,320,0.37,0.000326
16,27,21,0,320,0.37,0.000336
16,27,22,0,320,0.37,0.000329
16,27,23,0,320,0.37,0.00037
16,27,24,0,320,0.37,0.000333
16,27,25,1,320,0.37,0.001892
16,27,26,1,320,0.37,0.00197
16,27,27,0,320,0.37,0.000341
16,27,28,0,320,0.37,0.000318
16,27,29,0,320,0.37,0.000351
16,27,30,0,320,0.37,0.000361
16,27,31,0,320,0.37,0.000437
16,27,32,0,320,0.37,0.000365
16,27,33,0,320,0.37,0.000319
16,27,34,0,320,0.37,0.000342
16,27,35,0,320,0.37,0.000324
16,27,36,1,320,0.37,0.002126
16,27,37,0,320,0.37,0.000365
16,27,38,0,320,0.37,0.00036
16,27,39,0,320,0.37,0.000323
16,27,40,0,320,0.37,0.000356
16,27,41,1,320,0.37,0.001173
16,27,42,0,320,0.37,0.000336
16,27,43,0,320,0.37,0.00036
16,27,44,0,320,0.37,0.000424
16,27,45,1,320,0.37,0.002119
16,27,46,0,320,0.37,0.000379
16,27,47,0,320,0.37,0.000365
16,27,48,1,320,0.37,0.002188
16,27,49,0,320,0.37,0.000362
16,27,50,0,320,0.37,0.000323
16,27,51,0,320,0.37,0.000366
16,27,52,0,320,0.37,0.000367
16,27,53,0,320,0.37,0.00035
16,27,54,0,320,0.37,0.000331
16,27,55,0,320,0.37,0.000382
16,27,56,0,320,0.37,0.000328
16,27,57,0,320,0.37,0.000366
16,27,58,0,320,0.37,0.000343
16,27,59,0,320,0.37,0.000379
16,27,60,1,320,0.37,0.002036
16,27,61,0,320,0.37,0.000335
16,27,62,0,320,0.37,0.000344
16,27,63,0,320,0.37,0.000408
16,27,64,1,320,0.37,0.002085
16,27,65,0,320,0.37,0.000328
16,27,66,0,320,0.37,0.000367
16,27,67,0,320,0.37,0.00032
16,27,68,0,320,0.37,0.000365
16,27,69,0,320,0.37,0.000439
16,27,70,0,320,0.37,0.000327
16,27,71,0,320,0.37,0.000341
16,27,72,1,320,0.37,0.002193
16,27,73,1,320,0.37,0.002086
16,27,74,0,320,0.37,0.000373
16,27,75,1,320,0.37,0.002015
16,27,76,0,320,0.37,0.000401
16,27,77,0,320,0.37,0.000374
16,27,78,0,320,0.37,0.000334
16,27,79,0,320,0.37,0.000375
16,27,80,0,320,0.37,0.000341
16,27,81,0,320,0.37,0.000377
16,27,82,0,320,0.37,0.00042
16,27,83,0,320,0.37,0.000321
16,27,84,1,320,0.37,0.002001
16,27,85,0,320,0.37,0.000359
16,27,86,0,320,0.37,0.000318
16,27,87,0,320,0.37,0.000338
16,27,88,1,320,0.37,0.001811
16,27,89,0,320,0.37,0.000356
16,27,90,0,320,0.37,0.000372
16,27,91,0,320,0.37,0.00033
16,27,92,0,320,0.37,0.000355
16,27,93,1,320,0.37,0.002052
16,27,94,0,320,0.37,0.000441
16,27,95,1,320,0.37,0.002075
16,27,96,0,320,0.37,0.000348
16,27,97,1,320,0.37,0.002129
16,27,98,1,320,0.37,0.002132
16,27,99,1,320,0.37,0.001993
16,27,100,0,320,0.37,0.000372
16,27,101,0,320,0.37,0.000327
16,27,102,0,320,0.37,0.000347
16,27,103,0,320,0.37,0.000339
16,27,104,0,320,0.37,0.000409
16,27,105,0,320,0.37,0.000375
16,27,106,0,320,0.37,0.000343
16,27,107,0,320,0.37,0.000475
16,27,108,1,320,0.37,0.00205
16,27,109,0,320,0.37,0.000341
