N,M,id,E,time(s)
16,79,1,1,0.224418
16,79,2,1,0.224418
16,79,3,2,0.229367
16,79,4,3,0.241952
16,79,5,2,0.229142
16,79,6,1,0.229814
16,79,7,2,0.236905
16,79,8,2,0.227262
16,79,9,3,0.234195
16,79,10,2,0.227973
16,79,11,1,0.223546
16,79,12,3,0.234407
16,79,13,2,0.228856
16,79,14,2,0.230005
16,79,15,0,0.010472
16,79,16,1,0.254979
16,79,17,2,0.236434
16,79,18,2,0.22965
16,79,19,3,0.238122
16,79,20,2,0.231145
16,79,21,2,0.229087
16,79,22,1,0.219831
16,79,23,2,0.234555
16,79,24,1,0.220817
16,79,25,1,0.20268
16,79,26,2,0.23493
16,79,27,2,0.22657
16,79,28,1,0.220082
16,79,29,2,0.232613
16,79,30,2,0.227314
16,79,31,2,0.231798
16,79,32,1,0.221072
16,79,33,2,0.224681
16,79,34,1,0.222001
16,79,35,2,0.239867
16,79,36,2,0.228721
16,79,37,2,0.227297
16,79,38,2,0.23427
16,79,39,2,0.22891
16,79,40,2,0.226268
16,79,41,1,0.219467
16,79,42,2,0.22496
16,79,43,2,0.229208
16,79,44,2,0.227921
16,79,45,1,0.223133
16,79,46,1,0.225643
16,79,47,1,0.220816
16,79,48,2,0.230772
16,79,49,2,0.228366
16,79,50,1,0.227446
16,79,51,2,0.237708
16,79,52,2,0.232378
16,79,53,2,0.23378
16,79,54,2,0.235379
16,79,55,2,0.233082
16,79,56,2,0.233174
16,79,57,2,0.230198
16,79,58,2,0.225682
16,79,59,2,0.231591
16,79,60,3,0.233727
16,79,61,2,0.233785
16,79,62,1,0.220677
16,79,63,1,0.224254
16,79,64,2,0.232819
16,79,65,2,0.229912
16,79,66,2,0.231877
16,79,67,2,0.234053
16,79,68,2,0.231788
16,79,69,2,0.230361
16,79,70,2,0.238657
16,79,71,2,0.230918
16,79,72,2,0.234645
16,79,73,2,0.231586
16,79,74,2,0.231692
16,79,75,2,0.233123
16,79,76,2,0.223795
16,79,77,2,0.236089
16,79,78,3,0.231345
16,79,79,2,0.224787
16,79,80,3,0.23374
16,79,81,2,0.228765
16,79,82,1,0.225386
16,79,83,2,0.227614
16,79,84,2,0.228684
16,79,85,2,0.231897
16,79,86,2,0.229547
16,79,87,3,0.231698
16,79,88,2,0.234098
16,79,89,1,0.220041
16,79,90,2,0.233202
16,79,91,1,0.231254
16,79,92,3,0.233503
16,79,93,2,0.231548
16,79,94,1,0.229852
16,79,95,2,0.231338
16,79,96,2,0.229984
16,79,97,2,0.237015
16,79,98,1,0.223979
16,79,99,3,0.234323
16,79,100,1,0.225961
16,79,101,2,0.231301
16,79,102,2,0.227846
16,79,103,2,0.231624
16,79,104,2,0.243907
16,79,105,2,0.229711
16,79,106,1,0.218039
16,79,107,2,0.226966
16,79,108,1,0.223419
16,79,109,1,0.224026
16,79,110,2,0.227441
16,79,111,2,0.225022
16,79,112,1,0.231582
16,79,113,1,0.216122
16,79,114,1,0.231445
16,79,115,2,0.234665
16,79,116,2,0.266198
16,79,117,2,0.228094
16,79,118,1,0.225915
16,79,119,2,0.22668
16,79,120,2,0.226941
16,79,121,1,0.224828
16,79,122,3,0.235251
16,79,123,2,0.230533
16,79,124,1,0.228462
16,79,125,2,0.23405
16,79,126,3,0.230704
16,79,127,1,0.223614
16,79,128,2,0.226654
16,79,129,1,0.222351
16,79,130,1,0.226255
16,79,131,2,0.232809
16,79,132,2,0.223655
16,79,133,2,0.235766
16,79,134,2,0.230861
16,79,135,2,0.231722
16,79,136,2,0.230454
16,79,137,2,0.234136
16,79,138,2,0.229313
16,79,139,2,0.23144
